team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,4,187,46.8,0,3,55
ATL,Bradley Pinion,punting,5,245,49.0,0,1,62
BAL,Jordan Stout,punting,2,98,49.0,0,1,58
BUF,Sam Martin,punting,1,49,49.0,0,1,49
CAR,Johnny Hekker,punting,5,216,43.2,0,3,52
CHI,Tory Taylor,punting,4,218,54.5,0,1,67
CIN,Ryan Rehkow,punting,3,175,58.3,1,0,65
CLE,Corey Bojorquez,punting,6,318,53.0,0,3,62
DAL,Bryan Anger,punting,3,139,46.3,0,2,53
DEN,Riley Dixon,punting,2,96,48.0,0,0,50
DET,Jack Fox,punting,4,199,49.8,0,1,60
GB,Daniel Whelan,punting,2,84,42.0,0,2,51
HOU,Tommy Townsend,punting,3,154,51.3,0,2,56
IND,Rigoberto Sanchez,punting,3,148,49.3,1,0,54
JAX,Logan Cooke,punting,5,238,47.6,0,3,56
KC,Matt Araiza,punting,4,171,42.8,0,1,49
LAC,JK Scott,punting,7,330,47.1,0,1,55
LAR,Ty Zentner,punting,7,281,40.1,0,3,53
LV,AJ Cole,punting,5,280,56.0,0,3,70
MIA,Jake Bailey,punting,1,37,37.0,0,0,37
MIN,Ryan Wright,punting,2,83,41.5,1,0,44
NE,Bryce Baringer,punting,4,169,42.3,0,1,60
NO,Matthew Hayball,punting,4,169,42.3,0,1,50
NYG,Matt Haack,punting,2,92,46.0,0,1,60
NYJ,Thomas Morstead,punting,5,274,54.8,1,2,75
PHI,Braden Mann,punting,3,146,48.7,0,1,54
SEA,Michael Dickson,punting,7,330,47.1,0,2,62
TB,Trenton Gill,punting,5,216,43.2,0,2,57
TEN,Ryan Stonehouse,punting,5,233,46.6,1,2,58
WSH,Tress Way,punting,2,109,54.5,0,1,56
