team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,100.0,55,9,2,2,3,3
ATL,Younghoe Koo,kicking,0.0,0,3,0,0,3,3
BAL,Justin Tucker,kicking,100.0,37,11,2,2,5,5
BUF,Tyler Bass,kicking,100.0,61,10,3,3,1,2
CAR,Eddy Pineiro,kicking,100.0,48,5,1,1,2,2
CHI,Cairo Santos,kicking,100.0,53,9,3,3,0,0
CIN,Evan McPherson,kicking,100.0,44,11,2,2,5,5
CLE,Dustin Hopkins,kicking,50.0,38,4,1,2,1,1
DAL,Brandon Aubrey,kicking,100.0,57,7,2,2,1,1
DEN,Wil Lutz,kicking,100.0,37,4,1,1,1,1
DET,Jake Bates,kicking,100.0,27,6,1,1,3,3
GB,Brandon McManus,kicking,67.0,38,6,2,3,0,0
HOU,Ka'imi Fairbairn,kicking,50.0,54,7,2,4,1,1
IND,Matt Gay,kicking,67.0,54,7,2,3,1,1
JAX,Cam Little,kicking,0.0,0,1,0,0,1,1
KC,Harrison Butker,kicking,100.0,40,6,1,1,3,3
LAC,Cameron Dicker,kicking,0.0,0,3,0,1,3,4
LAR,Joshua Karty,kicking,100.0,38,8,2,2,2,2
LV,Daniel Carlson,kicking,100.0,46,6,1,1,3,3
MIA,Jason Sanders,kicking,100.0,39,9,2,2,3,3
MIN,Will Reichard,kicking,0.0,0,3,0,2,3,3
NE,Joey Slye,kicking,50.0,52,5,1,2,2,2
NO,Blake Grupe,kicking,100.0,51,10,3,3,1,1
NYG,Jude McAtamney,kicking,100.0,31,4,1,1,1,1
NYJ,Riley Patterson,kicking,0.0,0,3,0,0,3,3
PHI,Jake Elliott,kicking,50.0,43,4,1,2,1,1
SEA,Jason Myers,kicking,0.0,0,2,0,0,2,3
TB,Chase McLaughlin,kicking,100.0,47,6,1,1,3,3
TEN,Nick Folk,kicking,100.0,25,8,2,2,2,2
WSH,Austin Seibert,kicking,100.0,31,9,2,2,3,3
