team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,154,7.7,0,0,3,13,20
ATL,Kirk Cousins,passing,222,9.3,3,0,2,19,24
BAL,Lamar Jackson,passing,280,14.7,3,0,1,16,19
BUF,Josh Allen,passing,235,6.0,3,1,1,25,39
CAR,Bryce Young,passing,171,6.6,1,1,1,16,26
CHI,Caleb Williams,passing,217,5.3,0,0,6,22,41
CIN,Joe Burrow,passing,251,6.4,5,1,1,27,39
CLE,Jameis Winston,passing,235,5.1,1,3,6,26,46
DAL,Dak Prescott,passing,133,5.5,1,0,3,18,24
DAL,Cooper Rush,passing,115,4.6,1,0,0,13,25
DAL,Bryan Anger,passing,0,0.0,0,0,0,0,1
DEN,Courtland Sutton,passing,2,2.0,1,0,0,1,1
DEN,Bo Nix,passing,223,6.8,0,1,4,19,33
DET,Jared Goff,passing,145,6.6,1,0,1,18,22
GB,Jordan Love,passing,273,7.0,0,1,0,23,39
HOU,Joe Mixon,passing,0,0.0,0,0,0,0,1
HOU,C.J. Stroud,passing,191,6.4,0,0,8,11,30
IND,Joe Flacco,passing,179,6.6,0,1,3,16,27
JAX,Trevor Lawrence,passing,169,5.5,0,2,2,16,31
KC,Patrick Mahomes,passing,291,6.6,3,0,4,34,44
LAC,Justin Herbert,passing,282,10.4,2,0,6,18,27
LAR,Matthew Stafford,passing,298,6.8,2,1,0,25,44
LV,Gardner Minshew II,passing,124,7.3,0,0,1,10,17
LV,Desmond Ridder,passing,74,4.6,1,0,4,11,16
MIA,Tua Tagovailoa,passing,231,8.3,2,0,1,25,28
MIN,Justin Jefferson,passing,22,22.0,0,0,0,1,1
MIN,Sam Darnold,passing,290,8.5,3,2,4,28,34
NE,Drake Maye,passing,206,5.0,1,2,4,29,41
NO,Derek Carr,passing,236,7.6,1,0,1,18,31
NO,Taysom Hill,passing,0,0.0,0,0,0,0,1
NYG,Daniel Jones,passing,174,6.7,2,0,2,20,26
NYJ,Aaron Rodgers,passing,211,6.6,3,0,2,22,32
PHI,Jalen Hurts,passing,230,9.6,2,0,3,18,24
SEA,Geno Smith,passing,363,10.7,3,3,7,21,34
TB,Baker Mayfield,passing,200,6.5,2,0,2,23,31
TEN,Mason Rudolph,passing,240,7.3,2,1,1,20,33
WSH,Jayden Daniels,passing,209,9.5,2,0,0,15,22
