team,player,category,INT,YDS,TD
PHI,Avonte Maddox,interceptions,1,2,0
PHI,C.J. Gardner-Johnson,interceptions,6,54,0
PHI,Darius Slay,interceptions,3,17,0
PHI,James Bradberry IV,interceptions,3,54,1
PHI,Josh Sweat,interceptions,1,42,1
PHI,Josiah Scott,interceptions,2,13,0
PHI,Reed Blankenship,interceptions,1,4,0
