week,opponent,result
1,NYG,LOSS
2,BUF,LOSS
3,LV,WIN
4,IND,WIN
5,WSH,WIN
6,BYE,BYE
7,IND,WIN
8,HOU,WIN
9,KC,LOSS
10,DEN,WIN
11,GB,WIN
12,CIN,LOSS
13,PHI,LOSS
14,JAX,LOSS
15,LAC,LOSS
16,HOU,LOSS
17,DAL,LOSS
18,JAX,LOSS
