team,player,category,CAR,YDS,AVG,TD,LONG
NYJ,Ashtyn Davis,rushing,1,2,2.0,0,2
NYJ,Bam Knight,rushing,85,300,3.11,1,48
NYJ,Braxton Berrios,rushing,9,91,10.33,2,25
NYJ,Breece Hall,rushing,80,463,6.99,4,62
NYJ,Chris Streveler,rushing,9,54,6.0,0,14
NYJ,Elijah Moore,rushing,5,5,1.0,0,10
NYJ,Garrett Wilson,rushing,4,4,1.0,0,7
NYJ,James Robinson,rushing,29,85,2.75,0,16
NYJ,Joe Flacco,rushing,3,6,1.5,0,7
NYJ,Michael Carter,rushing,114,402,3.29,3,25
NYJ,Mike White,rushing,6,9,1.5,1,4
NYJ,Ty Johnson,rushing,30,160,4.73,1,32
NYJ,Tyler Conklin,rushing,2,3,1.5,0,2
NYJ,Zach Wilson,rushing,28,102,3.67,1,18
