team,player,category,INT,YDS,TD
ARI,Byron Murphy Jr.,interceptions,1,0,0
BAL,Anthony Averett,interceptions,1,0,0
BUF,Jaquan Johnson,interceptions,1,25,0
BUF,Tyler Matakevich,interceptions,1,15,0
BUF,Tremaine Edmunds,interceptions,1,4,0
BUF,Micah Hyde,interceptions,1,0,0
CLE,Greedy Williams,interceptions,1,0,0
DAL,Trevon Diggs,interceptions,2,23,0
DET,Amani Oruwariye,interceptions,1,0,0
GB,Eric Stokes,interceptions,1,0,0
HOU,Lonnie Johnson Jr.,interceptions,1,32,0
LAC,Derwin James Jr.,interceptions,1,15,0
NO,Marcus Williams,interceptions,1,3,0
NYG,James Bradberry IV,interceptions,1,0,0
PHI,Eric Wilson,interceptions,1,7,0
SEA,Quandre Diggs,interceptions,1,5,0
TB,Antoine Winfield Jr.,interceptions,1,0,0
TEN,Kristian Fulton,interceptions,1,13,0
