team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,2,88,44.0,0,0,47
ATL,Cameron Nizialek,punting,2,97,48.5,0,0,51
ATL,Younghoe Koo,punting,2,70,35.0,0,0,45
BAL,Sam Koch,punting,7,335,47.9,1,1,57
BUF,Matt Haack,punting,1,44,44.0,0,0,44
CAR,Joseph Charlton,punting,3,136,45.3,0,0,49
CHI,Pat O'Donnell,punting,3,159,53.0,0,0,60
CIN,Kevin Huber,punting,3,142,47.3,1,0,56
CLE,Jamie Gillan,punting,7,279,39.9,0,3,54
DAL,Bryan Anger,punting,4,190,47.5,1,2,63
DEN,Sam Martin,punting,10,491,49.1,2,4,68
DET,Jack Fox,punting,3,166,55.3,0,2,56
GB,Corey Bojorquez,punting,3,138,46.0,0,1,57
HOU,Cameron Johnston,punting,5,251,50.2,0,1,61
IND,Rigoberto Sanchez,punting,4,200,50.0,0,2,57
JAX,Logan Cooke,punting,4,183,45.8,0,3,57
LAC,Tristan Vizcaino,punting,1,32,32.0,0,1,32
LAC,Ty Long,punting,5,221,44.2,0,3,58
LAR,Johnny Hekker,punting,1,37,37.0,0,1,37
LV,AJ Cole,punting,5,256,51.2,0,1,56
MIA,Michael Palardy,punting,5,239,47.8,1,3,56
MIN,Jordan Berry,punting,6,291,48.5,0,1,58
NE,Jake Bailey,punting,4,188,47.0,0,2,58
NO,Blake Gillikin,punting,3,132,44.0,0,2,55
NYG,Riley Dixon,punting,4,157,39.3,0,1,51
NYJ,Thomas Morstead,punting,6,277,46.2,0,2,56
PIT,Pressley Harvin III,punting,3,102,34.0,0,1,45
SEA,Michael Dickson,punting,8,405,50.6,2,2,62
SF,Mitch Wishnowsky,punting,6,262,43.7,1,3,54
TB,Bradley Pinion,punting,4,170,42.5,1,0,55
TEN,Johnny Townsend,punting,5,188,37.6,0,1,63
WSH,Tress Way,punting,2,84,42.0,0,1,45
