team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,268,8.4,2,0,3,24,32
ATL,Matt Ryan,passing,283,6.7,4,0,1,25,42
BAL,Lamar Jackson,passing,316,8.5,1,0,3,22,37
BUF,Josh Allen,passing,248,8.3,2,1,1,20,30
BUF,Mitchell Trubisky,passing,8,8.0,0,0,0,1,1
CAR,Sam Darnold,passing,301,7.7,2,2,5,26,39
CHI,Justin Fields,passing,209,12.3,0,1,1,11,17
CIN,Joe Burrow,passing,348,10.9,2,0,1,25,32
CLE,Baker Mayfield,passing,155,4.7,0,0,3,15,33
DAL,Dak Prescott,passing,188,8.5,4,0,0,14,22
DEN,Teddy Bridgewater,passing,65,4.1,1,0,2,7,16
DEN,Drew Lock,passing,113,5.4,0,1,3,12,21
DET,Jared Goff,passing,299,7.9,2,0,4,24,38
GB,Aaron Rodgers,passing,248,6.9,2,0,3,20,36
HOU,Davis Mills,passing,87,4.1,0,4,3,11,21
IND,Carson Wentz,passing,228,7.1,2,0,2,24,32
JAX,Trevor Lawrence,passing,204,8.5,0,0,1,17,24
KC,Patrick Mahomes,passing,278,9.3,5,1,1,24,30
LAC,Ty Long,passing,0,0.0,0,0,0,0,1
LAC,Justin Herbert,passing,222,5.8,3,0,2,25,38
LAR,Matthew Stafford,passing,280,6.8,2,1,0,26,41
LV,Derek Carr,passing,196,5.8,2,1,4,21,34
MIA,Jacoby Brissett,passing,199,6.6,2,0,3,20,30
MIN,Kirk Cousins,passing,203,5.3,1,1,2,20,38
NE,Jakobi Meyers,passing,45,22.5,0,0,0,2,2
NE,Mac Jones,passing,275,6.9,2,1,4,31,40
NO,Taysom Hill,passing,9,3.0,0,1,0,2,3
NO,Jameis Winston,passing,226,9.8,1,0,0,17,23
NYG,Daniel Jones,passing,402,10.1,2,1,0,28,40
NYJ,Zach Wilson,passing,297,8.7,2,1,1,21,34
PHI,Jalen Hurts,passing,387,8.1,2,0,3,32,48
PIT,Ben Roethlisberger,passing,232,5.8,1,1,2,26,40
SEA,Russell Wilson,passing,149,6.5,2,0,3,16,23
SF,Jimmy Garoppolo,passing,165,7.2,1,1,1,14,23
SF,Trey Lance,passing,157,8.7,2,0,1,9,18
TB,Tom Brady,passing,269,6.3,0,0,1,22,43
TEN,Ryan Tannehill,passing,298,6.1,1,0,7,30,49
WSH,Taylor Heinicke,passing,290,8.8,3,0,1,23,33
