team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Nolan Cooney,punting,3,146,48.7,1,0,54
ATL,Bradley Pinion,punting,1,45,45.0,0,0,45
BAL,Jordan Stout,punting,2,117,58.5,1,0,63
BUF,Sam Martin,punting,1,54,54.0,0,1,54
CAR,Johnny Hekker,punting,5,239,47.8,0,2,54
CHI,Trenton Gill,punting,5,232,46.4,0,1,55
CIN,Brad Robbins,punting,3,120,40.0,0,1,41
CLE,Corey Bojorquez,punting,5,238,47.6,1,1,54
DAL,Bryan Anger,punting,3,155,51.7,0,1,55
DEN,Riley Dixon,punting,3,134,44.7,0,0,46
DET,Jack Fox,punting,1,53,53.0,0,0,53
GB,Daniel Whelan,punting,4,199,49.8,1,0,59
HOU,Ty Zentner,punting,3,127,42.3,1,0,51
IND,Rigoberto Sanchez,punting,5,220,44.0,0,2,51
JAX,Logan Cooke,punting,5,243,48.6,0,4,57
KC,Tommy Townsend,punting,4,193,48.3,0,1,58
LAC,JK Scott,punting,6,234,39.0,0,4,47
LAR,Ethan Evans,punting,2,108,54.0,0,1,72
LV,AJ Cole,punting,3,149,49.7,0,2,53
MIA,Jake Bailey,punting,3,144,48.0,0,0,55
MIN,Ryan Wright,punting,3,157,52.3,0,2,57
NE,Bryce Baringer,punting,4,192,48.0,0,3,58
NO,Lou Hedley,punting,5,210,42.0,1,2,49
NYG,Jamie Gillan,punting,3,111,37.0,0,1,42
NYJ,Thomas Morstead,punting,5,241,48.2,0,1,58
PHI,Arryn Siposs,punting,4,150,37.5,0,2,44
PIT,Pressley Harvin III,punting,7,320,45.7,2,4,61
SEA,Michael Dickson,punting,3,152,50.7,0,2,64
SF,Mitch Wishnowsky,punting,4,197,49.3,1,2,67
TB,Jake Camarda,punting,4,211,52.8,1,3,72
TEN,Ryan Stonehouse,punting,5,306,61.2,1,0,63
WSH,Tress Way,punting,3,168,56.0,0,2,66
