team,player,category,INT,YDS,TD
ARI,Jalen Thompson,interceptions,1,35,0
BAL,Geno Stone,interceptions,1,36,0
BUF,Matt Milano,interceptions,1,3,0
BUF,Terrel Bernard,interceptions,1,0,0
CAR,Vonn Bell,interceptions,1,11,0
CLE,Grant Delpit,interceptions,1,0,0
DAL,Malik Hooker,interceptions,1,0,0
DAL,Jayron Kearse,interceptions,1,32,0
DAL,Trevon Diggs,interceptions,1,8,0
GB,Rasul Douglas,interceptions,1,-2,0
JAX,Andre Cisco,interceptions,1,0,0
MIA,Xavien Howard,interceptions,1,0,0
MIN,Theo Jackson,interceptions,1,0,0
NE,Christian Gonzalez,interceptions,1,0,0
PIT,Alex Highsmith,interceptions,1,30,1
SEA,Tre Brown,interceptions,1,40,1
SF,Deommodore Lenoir,interceptions,1,21,0
SF,Isaiah Oliver,interceptions,1,3,0
TB,Christian Izien,interceptions,1,4,0
TB,Shaquil Barrett,interceptions,1,4,1
WSH,Emmanuel Forbes Jr.,interceptions,1,3,0
