team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Michael Palardy,punting,4,180,45.0,0,1,48
BAL,Jordan Stout,punting,4,179,44.8,2,1,70
BUF,Sam Martin,punting,4,163,40.8,0,1,53
CAR,Johnny Hekker,punting,3,155,51.7,0,2,57
CHI,Tory Taylor,punting,6,254,42.3,1,2,55
CIN,Ryan Rehkow,punting,3,146,48.7,0,1,57
CLE,Corey Bojorquez,punting,5,216,43.2,1,0,62
DAL,Bryan Anger,punting,4,198,49.5,0,1,58
DEN,Riley Dixon,punting,2,88,44.0,0,1,44
DET,Jack Fox,punting,2,102,51.0,0,1,56
GB,Daniel Whelan,punting,3,133,44.3,1,0,60
HOU,Tommy Townsend,punting,4,191,47.8,1,2,53
IND,Rigoberto Sanchez,punting,4,200,50.0,0,3,61
JAX,Logan Cooke,punting,4,200,50.0,0,2,62
KC,Matt Araiza,punting,5,245,49.0,1,3,60
LAC,JK Scott,punting,1,47,47.0,0,0,47
LAR,Ethan Evans,punting,2,103,51.5,0,1,52
LV,AJ Cole,punting,3,180,60.0,1,2,62
MIA,Jake Bailey,punting,3,121,40.3,0,1,53
MIN,Ryan Wright,punting,3,155,51.7,0,0,57
NE,Bryce Baringer,punting,3,111,37.0,0,2,39
NO,Matthew Hayball,punting,3,131,43.7,0,2,51
NYG,Jamie Gillan,punting,3,120,40.0,0,1,43
NYJ,Thomas Morstead,punting,4,157,39.3,0,1,49
PHI,Braden Mann,punting,3,140,46.7,0,2,59
PIT,Corliss Waitman,punting,5,213,42.6,0,2,50
SEA,Michael Dickson,punting,4,228,57.0,1,1,62
SF,Pat O'Donnell,punting,2,100,50.0,0,1,50
TB,Jack Browning,punting,2,66,33.0,0,0,52
TEN,Ryan Stonehouse,punting,5,219,43.8,0,2,50
WSH,Tress Way,punting,5,238,47.6,0,3,56
