team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,100.0,51,11,2,2,5,5
ATL,Riley Patterson,kicking,50.0,31,8,1,2,5,5
BAL,Justin Tucker,kicking,0.0,0,5,0,0,5,5
BUF,Tyler Bass,kicking,100.0,49,4,1,1,1,2
CAR,Eddy Pineiro,kicking,100.0,35,8,1,1,5,5
CHI,Cairo Santos,kicking,100.0,51,6,1,1,3,3
CIN,Cade York,kicking,100.0,48,13,4,4,1,1
CLE,Dustin Hopkins,kicking,100.0,23,4,1,1,1,1
DAL,Brandon Aubrey,kicking,100.0,41,13,4,4,1,1
DEN,Wil Lutz,kicking,100.0,33,8,1,1,5,5
DET,Jake Bates,kicking,100.0,48,7,1,1,4,4
GB,Brandon McManus,kicking,100.0,55,10,3,3,1,1
HOU,Ka'imi Fairbairn,kicking,100.0,27,5,1,1,2,3
IND,Matt Gay,kicking,80.0,49,14,4,5,2,2
JAX,Cam Little,kicking,100.0,53,11,3,3,2,2
KC,Harrison Butker,kicking,0.0,0,0,0,1,0,0
LAC,Cameron Dicker,kicking,80.0,49,14,4,5,2,2
LAR,Joshua Karty,kicking,100.0,58,13,4,4,1,1
LV,Daniel Carlson,kicking,100.0,47,8,2,2,2,2
MIA,Jason Sanders,kicking,100.0,28,8,2,2,2,2
MIN,Will Reichard,kicking,75.0,51,9,3,4,0,0
NE,Joey Slye,kicking,100.0,50,11,3,3,2,2
NO,Blake Grupe,kicking,100.0,49,13,4,4,1,1
NYG,Graham Gano,kicking,100.0,53,7,2,2,1,1
NYJ,Greg Joseph,kicking,100.0,20,6,1,1,3,3
PHI,Jake Elliott,kicking,66.7,32,8,2,3,2,2
PIT,Chris Boswell,kicking,100.0,54,5,1,1,2,2
SEA,Jason Myers,kicking,100.0,56,6,1,1,3,3
SF,Jake Moody,kicking,50.0,51,6,1,2,3,3
TB,Chase McLaughlin,kicking,100.0,52,9,2,2,3,3
TEN,Matthew Wright,kicking,100.0,38,6,2,2,0,0
WSH,Zane Gonzalez,kicking,100.0,47,5,1,1,2,2
