team,player,category,INT,YDS,TD
ARI,Byron Murphy Jr.,interceptions,2,36,1
BUF,Jordan Poyer,interceptions,1,26,0
BUF,Micah Hyde,interceptions,1,11,0
CIN,Logan Wilson,interceptions,2,13,0
DAL,Trevon Diggs,interceptions,1,59,1
DAL,Anthony Brown,interceptions,1,0,0
DEN,Caden Sterns,interceptions,1,46,0
DEN,Justin Simmons,interceptions,1,35,0
DET,Amani Oruwariye,interceptions,1,0,0
GB,Jaire Alexander,interceptions,1,30,0
IND,Shaquille Leonard,interceptions,1,4,0
IND,Kenny Moore II,interceptions,1,32,0
JAX,Andrew Wingard,interceptions,1,23,0
LAC,Asante Samuel Jr.,interceptions,1,0,0
LAC,Alohi Gilman,interceptions,1,0,0
MIA,Elandon Roberts,interceptions,1,85,1
NO,Malcolm Jenkins,interceptions,1,34,1
NO,P.J. Williams,interceptions,1,46,0
NO,Marshon Lattimore,interceptions,1,20,0
PIT,Terrell Edmunds,interceptions,1,15,0
