team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,5,253,50.6,1,0,59
ATL,Cameron Nizialek,punting,6,284,47.3,1,3,58
BAL,Sam Koch,punting,3,137,45.7,0,2,54
BUF,Matt Haack,punting,2,97,48.5,0,2,60
CAR,Joseph Charlton,punting,3,111,37.0,0,0,42
CHI,Pat O'Donnell,punting,7,397,56.7,0,0,63
CIN,Kevin Huber,punting,5,241,48.2,0,3,54
CLE,Jamie Gillan,punting,2,82,41.0,0,1,48
DAL,Bryan Anger,punting,4,202,50.5,0,2,57
DEN,Sam Martin,punting,3,122,40.7,0,1,53
DET,Jack Fox,punting,6,273,45.5,0,2,59
GB,Corey Bojorquez,punting,3,164,54.7,0,1,63
HOU,Cameron Johnston,punting,6,267,44.5,0,3,53
IND,Rigoberto Sanchez,punting,4,197,49.3,0,1,56
JAX,Logan Cooke,punting,6,289,48.2,0,3,56
KC,Tommy Townsend,punting,1,51,51.0,0,0,51
LAC,Ty Long,punting,4,172,43.0,0,2,55
LAR,Johnny Hekker,punting,3,119,39.7,0,3,51
LV,AJ Cole,punting,4,216,54.0,0,2,67
MIA,Michael Palardy,punting,4,155,38.8,0,3,50
MIN,Jordan Berry,punting,2,94,47.0,0,1,49
NE,Jake Bailey,punting,5,283,56.6,2,1,68
NO,Blake Gillikin,punting,5,249,49.8,1,0,56
NYG,Riley Dixon,punting,5,229,45.8,1,2,55
NYJ,Thomas Morstead,punting,6,280,46.7,0,2,51
PHI,Arryn Siposs,punting,6,258,43.0,0,2,51
PIT,Pressley Harvin III,punting,4,162,40.5,0,1,50
SEA,Michael Dickson,punting,2,88,44.0,0,1,45
SF,Mitch Wishnowsky,punting,4,213,53.3,1,3,59
TB,Bradley Pinion,punting,4,145,36.3,0,1,53
TEN,Brett Kern,punting,1,42,42.0,0,0,42
WSH,Tress Way,punting,5,235,47.0,1,1,55
