team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,50.0,34,7,1,2,4,4
ATL,Younghoe Koo,kicking,100.0,40,5,1,1,2,2
BAL,Justin Tucker,kicking,80.0,66,13,4,5,1,1
BUF,Tyler Bass,kicking,100.0,48,13,3,3,4,4
CAR,Zane Gonzalez,kicking,100.0,21,6,1,1,3,3
CHI,Cairo Santos,kicking,100.0,47,6,2,2,0,0
CIN,Evan McPherson,kicking,100.0,43,6,1,1,3,3
CLE,Chase McLaughlin,kicking,100.0,57,14,4,4,2,2
DAL,Greg Zuerlein,kicking,0.0,0,5,0,0,5,6
DEN,Brandon McManus,kicking,100.0,47,14,4,4,2,2
DET,Ryan Santoso,kicking,100.0,35,5,1,1,2,2
GB,Mason Crosby,kicking,100.0,54,12,3,3,3,3
HOU,Joey Slye,kicking,100.0,53,3,1,1,0,1
IND,Rodrigo Blankenship,kicking,75.0,43,10,3,4,1,1
JAX,Josh Lambo,kicking,0.0,0,1,0,0,1,3
KC,Harrison Butker,kicking,100.0,34,6,1,1,3,3
LAC,Tristan Vizcaino,kicking,100.0,24,4,1,1,1,3
LAR,Matt Gay,kicking,100.0,48,10,2,2,4,4
LV,Daniel Carlson,kicking,100.0,50,11,3,3,2,3
MIA,Jason Sanders,kicking,67.0,50,8,2,3,2,2
MIN,Greg Joseph,kicking,100.0,43,12,3,3,3,3
NE,Nick Folk,kicking,100.0,45,7,2,2,1,1
NO,Aldrick Rosas,kicking,0.0,0,4,0,2,4,4
NYG,Graham Gano,kicking,100.0,31,6,2,2,0,0
PHI,Jake Elliott,kicking,0.0,0,3,0,0,3,3
PIT,Chris Boswell,kicking,50.0,26,4,1,2,1,1
SEA,Jason Myers,kicking,50.0,53,5,1,2,2,2
SF,Robbie Gould,kicking,0.0,0,4,0,0,4,4
TB,Ryan Succop,kicking,50.0,26,6,1,2,3,3
TEN,Randy Bullock,kicking,100.0,32,5,1,1,2,2
WSH,Dustin Hopkins,kicking,0.0,0,3,0,0,3,3
