team,player,category,FUM,LOST
IND,Alec Pierce,fumbles,1,0
IND,Bobby Okereke,fumbles,0,0
IND,Braden Smith,fumbles,0,0
IND,Dallis Flowers,fumbles,2,1
IND,Darrell Baker Jr.,fumbles,0,0
IND,DeForest Buckner,fumbles,0,0
IND,Deon Jackson,fumbles,1,1
IND,Eric Johnson II,fumbles,0,0
IND,Grover Stewart,fumbles,0,0
IND,Isaiah Rodgers,fumbles,1,0
IND,Jelani Woods,fumbles,1,0
IND,Jonathan Taylor,fumbles,3,3
IND,Julian Blackmon,fumbles,0,0
IND,Keke Coutee,fumbles,4,1
IND,Kwity Paye,fumbles,0,0
IND,Kylen Granson,fumbles,1,0
IND,Matt Pryor,fumbles,0,0
IND,Matt Ryan,fumbles,15,5
IND,Michael Pittman Jr.,fumbles,2,1
IND,Mo Alie-Cox,fumbles,1,1
IND,Nick Cross,fumbles,1,0
IND,Nyheim Hines,fumbles,1,0
IND,Parris Campbell,fumbles,1,0
IND,Quenton Nelson,fumbles,0,0
IND,Rodney McLeod Jr.,fumbles,0,0
IND,Ryan Kelly,fumbles,0,0
IND,Sam Ehlinger,fumbles,2,1
IND,Will Fries,fumbles,0,0
