team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,47,4,1,1,1,1
ATL,Younghoe Koo,kicking,100.0,49,11,3,3,2,2
BAL,Justin Tucker,kicking,50.0,48,7,1,2,4,4
BUF,Tyler Bass,kicking,100.0,37,6,1,1,3,3
CAR,Eddy Pineiro,kicking,100.0,46,9,3,3,0,1
CHI,Cairo Santos,kicking,0.0,0,1,0,0,1,1
CIN,Evan McPherson,kicking,50.0,56,7,1,2,4,4
CLE,Dustin Hopkins,kicking,100.0,27,8,2,2,2,2
DAL,Brandon Aubrey,kicking,100.0,58,11,2,2,5,5
DEN,Wil Lutz,kicking,50.0,28,6,1,2,3,3
DET,Riley Patterson,kicking,80.0,52,14,4,5,2,2
GB,Anders Carlson,kicking,100.0,30,4,1,1,1,1
HOU,Ka'imi Fairbairn,kicking,0.0,0,1,0,0,1,1
IND,Matt Gay,kicking,100.0,42,9,2,2,3,3
JAX,Brandon McManus,kicking,100.0,51,12,4,4,0,0
KC,Harrison Butker,kicking,100.0,56,9,3,3,0,0
LAC,Cameron Dicker,kicking,100.0,53,12,3,3,3,3
LAR,Lucas Havrisik,kicking,100.0,47,6,2,2,0,0
LV,Daniel Carlson,kicking,0.0,0,2,0,0,2,2
MIA,Jason Sanders,kicking,100.0,30,7,1,1,4,4
MIN,Greg Joseph,kicking,33.0,25,6,1,3,3,3
NE,Chad Ryland,kicking,100.0,38,5,1,1,2,2
NO,Blake Grupe,kicking,100.0,27,8,1,1,5,5
NYG,Graham Gano,kicking,33.0,31,4,1,3,1,1
NYJ,Greg Zuerlein,kicking,100.0,35,7,2,2,1,1
PHI,Jake Elliott,kicking,100.0,51,8,1,1,5,5
PIT,Chris Boswell,kicking,50.0,22,4,1,2,1,1
SEA,Jason Myers,kicking,100.0,32,6,1,1,3,3
SF,Jake Moody,kicking,100.0,36,5,1,1,2,2
TB,Chase McLaughlin,kicking,50.0,57,4,1,2,1,1
TEN,Nick Folk,kicking,0.0,0,4,0,0,4,4
WSH,Joey Slye,kicking,100.0,61,7,1,1,4,4
