team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,4,207,51.8,0,0,66
ATL,Bradley Pinion,punting,6,305,50.8,0,1,60
BAL,Jordan Stout,punting,5,242,48.4,0,4,59
BUF,Sam Martin,punting,4,180,45.0,1,3,48
CAR,Johnny Hekker,punting,4,203,50.8,0,1,63
CHI,Trenton Gill,punting,3,126,42.0,0,1,47
CIN,Brad Robbins,punting,3,140,46.7,1,0,49
CLE,Corey Bojorquez,punting,3,142,47.3,0,1,59
DAL,Bryan Anger,punting,2,93,46.5,0,1,52
DEN,Riley Dixon,punting,4,166,41.5,0,1,46
DET,Jack Fox,punting,1,48,48.0,0,0,48
GB,Daniel Whelan,punting,4,207,51.8,0,0,59
HOU,Cameron Johnston,punting,6,287,47.8,0,4,74
IND,Rigoberto Sanchez,punting,5,258,51.6,0,0,57
JAX,Logan Cooke,punting,3,131,43.7,1,2,54
KC,Tommy Townsend,punting,2,82,41.0,0,1,49
LAC,JK Scott,punting,2,88,44.0,0,1,63
LAR,Ethan Evans,punting,4,183,45.8,0,1,58
LV,AJ Cole,punting,5,242,48.4,0,2,52
MIA,Jake Bailey,punting,3,146,48.7,1,2,63
MIN,Ryan Wright,punting,2,87,43.5,0,1,47
NE,Bryce Baringer,punting,5,265,53.0,1,2,63
NO,Lou Hedley,punting,4,158,39.5,0,4,47
NYG,Jamie Gillan,punting,13,549,42.2,0,5,58
NYJ,Thomas Morstead,punting,11,529,48.1,0,4,55
PHI,Braden Mann,punting,2,117,58.5,1,0,59
PIT,Pressley Harvin III,punting,6,257,42.8,0,0,52
SEA,Michael Dickson,punting,5,274,54.8,1,2,67
SF,Mitch Wishnowsky,punting,3,151,50.3,0,2,62
TB,Jake Camarda,punting,6,305,50.8,1,2,63
TEN,Ryan Stonehouse,punting,8,420,52.5,2,6,72
WSH,Tress Way,punting,2,96,48.0,0,1,56
