team,player,category,INT,YDS,TD
BAL,Geno Stone,interceptions,1,1,0
BAL,Brandon Stephens,interceptions,1,4,0
CIN,Germaine Pratt,interceptions,1,9,0
CIN,Logan Wilson,interceptions,1,16,0
CLE,Martin Emerson Jr.,interceptions,1,0,0
CLE,Maurice Hurst II,interceptions,1,0,0
DAL,DaRon Bland,interceptions,1,30,1
DEN,Ja'Quan McMillian,interceptions,1,5,0
DEN,Justin Simmons,interceptions,1,33,0
DET,Kerby Joseph,interceptions,1,15,0
JAX,Andrew Wingard,interceptions,1,0,0
JAX,Antonio Johnson,interceptions,1,23,0
LAC,Ja'Sir Taylor,interceptions,1,8,0
LAC,Derwin James Jr.,interceptions,1,6,0
LAR,Jordan Fuller,interceptions,1,18,0
LV,Marcus Peters,interceptions,1,75,1
MIA,Jalen Ramsey,interceptions,1,49,0
MIN,Joshua Metellus,interceptions,1,43,0
NE,Kyle Dugger,interceptions,1,15,0
NO,Paulson Adebo,interceptions,1,27,0
PHI,Reed Blankenship,interceptions,1,17,0
PIT,Damontae Kazee,interceptions,1,7,0
SEA,Julian Love,interceptions,1,0,0
SEA,Riq Woolen,interceptions,1,0,0
TB,William Gholston,interceptions,1,0,0
