week,opponent,result
1,HOU,WIN
2,TEN,WIN
3,PHI,LOSS
4,IND,WIN
5,SF,LOSS
6,BAL,WIN
7,JAX,WIN
8,BYE,BYE
9,NO,WIN
10,SF,WIN
11,SEA,WIN
12,TB,WIN
13,CAR,LOSS
14,ARI,WIN
15,DET,WIN
16,SEA,LOSS
17,ATL,LOSS
18,ARI,WIN
