team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,29,6,2,2,0,0
ATL,Younghoe Koo,kicking,100.0,48,7,2,2,1,1
BAL,Justin Tucker,kicking,100.0,38,6,1,1,3,3
BUF,Tyler Bass,kicking,100.0,26,7,1,1,4,4
CHI,Cairo Santos,kicking,50.0,34,3,1,2,0,0
CIN,Evan McPherson,kicking,100.0,58,9,3,3,0,0
CLE,Chase McLaughlin,kicking,0.0,0,2,0,1,2,2
DAL,Greg Zuerlein,kicking,100.0,42,9,3,3,0,2
DEN,Brandon McManus,kicking,50.0,54,4,1,2,1,1
DET,Riley Patterson,kicking,100.0,47,12,3,3,3,3
GB,Mason Crosby,kicking,100.0,29,7,1,1,4,4
HOU,Ka'imi Fairbairn,kicking,100.0,52,12,3,3,3,3
IND,Michael Badgley,kicking,67.0,41,9,2,3,3,3
JAX,Matthew Wright,kicking,100.0,38,10,3,3,1,1
KC,Harrison Butker,kicking,100.0,33,8,2,2,2,2
LAC,Dustin Hopkins,kicking,0.0,0,4,0,0,4,4
LAR,Matt Gay,kicking,100.0,55,8,2,2,2,2
LV,Daniel Carlson,kicking,100.0,48,10,3,3,1,1
MIA,Jason Sanders,kicking,100.0,24,7,1,1,4,4
MIN,Greg Joseph,kicking,100.0,37,5,1,1,2,2
NE,Nick Folk,kicking,100.0,25,5,1,1,2,2
NO,Brett Maher,kicking,100.0,42,9,3,3,0,0
NYG,Graham Gano,kicking,100.0,42,6,2,2,0,0
NYJ,Eddy Pineiro,kicking,100.0,27,6,1,1,3,3
PHI,Jake Elliott,kicking,100.0,37,9,2,2,3,3
PIT,Chris Boswell,kicking,80.0,48,13,4,5,1,1
SEA,Jason Myers,kicking,100.0,39,4,1,1,1,1
SF,Robbie Gould,kicking,100.0,30,7,1,1,4,4
TB,Ryan Succop,kicking,0.0,0,0,0,1,0,0
TEN,Randy Bullock,kicking,100.0,32,7,2,2,1,1
WSH,Brian Johnson,kicking,100.0,22,5,1,1,2,2
