team,player,category,INT,YDS,TD
BUF,A.J. Klein,interceptions,1,12,0
CAR,Jeremy Chinn,interceptions,1,0,0
CHI,Deon Bush,interceptions,1,27,0
CLE,Greedy Williams,interceptions,1,7,0
DAL,Jourdan Lewis,interceptions,1,18,0
DAL,Trevon Diggs,interceptions,1,0,0
DAL,Malik Hooker,interceptions,1,0,0
DET,Amani Oruwariye,interceptions,1,50,0
IND,Bobby Okereke,interceptions,1,16,0
IND,Shaquille Leonard,interceptions,1,-3,0
JAX,Tyson Campbell,interceptions,1,3,0
KC,Anthony Hitchens,interceptions,1,0,0
LAC,Uchenna Nwosu,interceptions,1,2,0
LAR,Taylor Rapp,interceptions,1,0,0
NE,Devin McCourty,interceptions,1,0,0
NO,C.J. Gardner-Johnson,interceptions,1,1,0
NYJ,Ashtyn Davis,interceptions,1,18,0
NYJ,Brandin Echols,interceptions,1,20,1
PIT,Joe Schobert,interceptions,1,23,0
SEA,Quandre Diggs,interceptions,1,25,0
WSH,Landon Collins,interceptions,1,0,0
