team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
MIN,Parker Romo,kicking,93.75,55,40,11,12,7,8
MIN,Will Reichard,kicking,71.15,58,110,24,30,38,38
