week,opponent,result
1,WSH,LOSS
2,NYG,LOSS
3,DAL,WIN
4,SF,LOSS
5,CIN,LOSS
6,LAR,LOSS
7,SEA,LOSS
8,BAL,LOSS
9,CLE,LOSS
10,ATL,WIN
11,HOU,LOSS
12,LAR,LOSS
13,PIT,WIN
14,BYE,BYE
15,SF,LOSS
16,CHI,LOSS
17,PHI,WIN
18,SEA,LOSS
