team,player,category,REC,YDS,AVG,TD,LONG,TGTS
KC,Blake Bell,receiving,5,26,3.33,1,8,9
KC,Clyde Edwards-Helaire,receiving,17,188,8.09,1,48,22
KC,Donovan Smith,receiving,1,0,0.0,0,0,1
KC,Isiah Pacheco,receiving,44,244,4.94,2,33,49
KC,Jerick McKinnon,receiving,25,192,7.44,4,27,32
KC,Justin Watson,receiving,27,460,16.22,3,41,53
KC,Justyn Ross,receiving,6,53,6.1,0,20,11
KC,Kadarius Toney,receiving,27,169,6.5,1,18,38
KC,La'Mical Perine,receiving,3,33,5.5,0,25,5
KC,Marquez Valdes-Scantling,receiving,21,315,11.28,1,46,42
KC,Mecole Hardman Jr.,receiving,14,118,6.92,0,37,21
KC,Noah Gray,receiving,28,305,9.78,2,34,41
KC,Rashee Rice,receiving,79,938,11.89,7,67,102
KC,Richie James,receiving,10,114,8.81,0,45,14
KC,Skyy Moore,receiving,21,244,7.89,1,54,38
KC,Travis Kelce,receiving,93,984,10.1,5,53,121
