team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,224,7.5,0,0,0,23,30
ARI,Clayton Tune,passing,8,4.0,0,0,0,2,2
ATL,Kirk Cousins,passing,112,6.6,1,1,3,11,17
BAL,Josh Johnson,passing,0,0.0,0,0,1,0,0
BAL,Lamar Jackson,passing,290,11.6,5,0,2,21,25
BUF,Josh Allen,passing,362,10.6,2,0,0,23,34
CAR,Bryce Young,passing,219,7.8,1,2,6,19,28
CHI,Caleb Williams,passing,191,6.2,1,0,2,18,31
CHI,Tyson Bagent,passing,5,5.0,0,0,0,1,1
CIN,Joe Burrow,passing,271,7.3,3,2,1,26,37
CLE,Jameis Winston,passing,146,5.8,0,3,5,16,25
CLE,Dorian Thompson-Robinson,passing,18,2.0,0,1,0,4,9
DAL,Cooper Rush,passing,214,7.4,3,0,1,18,29
DEN,Bo Nix,passing,130,3.9,3,3,1,20,33
DET,Jared Goff,passing,494,8.4,5,0,3,38,59
GB,Jordan Love,passing,229,8.5,2,0,0,20,27
HOU,C.J. Stroud,passing,131,5.0,2,0,4,18,26
IND,Anthony Richardson Sr.,passing,172,4.5,0,2,2,17,38
JAX,Mac Jones,passing,294,6.4,2,2,2,31,46
KC,Patrick Mahomes,passing,159,4.2,2,0,0,19,38
KC,Carson Wentz,passing,20,10.0,0,0,0,2,2
LAC,Justin Herbert,passing,195,5.9,2,1,3,21,33
LAC,Taylor Heinicke,passing,4,4.0,0,0,0,1,1
LAR,Matthew Stafford,passing,160,5.9,0,0,0,16,27
LV,Jakobi Meyers,passing,0,0.0,0,0,1,0,0
LV,Desmond Ridder,passing,208,5.3,1,2,3,23,39
MIA,Tua Tagovailoa,passing,196,4.9,1,3,3,29,40
MIN,Sam Darnold,passing,231,5.8,1,1,2,24,40
NE,Drake Maye,passing,202,8.8,1,1,2,19,23
NO,Jake Haener,passing,49,4.9,0,1,3,4,10
NO,Cedrick Wilson Jr.,passing,21,21.0,1,0,0,1,1
NO,Spencer Rattler,passing,135,6.4,1,0,0,10,21
NYG,Tommy DeVito,passing,68,5.2,0,0,2,10,13
NYG,Tim Boyle,passing,123,5.1,1,1,1,12,24
NYJ,Aaron Rodgers,passing,289,9.6,3,0,1,16,30
PHI,Jalen Hurts,passing,290,9.1,2,0,3,25,32
PIT,Russell Wilson,passing,128,5.8,1,0,2,14,22
SEA,Geno Smith,passing,149,7.8,0,1,3,15,19
SEA,Sam Howell,passing,24,1.7,0,1,4,5,14
SF,Brock Purdy,passing,142,4.6,0,1,3,14,31
TB,Baker Mayfield,passing,288,10.7,4,1,1,22,27
TEN,Will Levis,passing,89,7.4,0,3,1,8,12
TEN,Mason Rudolph,passing,209,8.0,2,1,0,21,26
WSH,Jayden Daniels,passing,226,7.3,2,0,8,25,31
