team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,100.0,49,12,3,3,3,3
ATL,Younghoe Koo,kicking,66.7,48,7,2,3,1,1
BAL,Justin Tucker,kicking,0.0,0,5,0,0,5,5
BUF,Tyler Bass,kicking,66.7,50,12,2,3,6,6
CAR,Eddy Pineiro,kicking,0.0,0,2,0,0,2,2
CHI,Cairo Santos,kicking,100.0,39,6,2,2,0,0
CIN,Cade York,kicking,100.0,21,7,1,1,4,5
CLE,Riley Patterson,kicking,0.0,0,1,0,0,1,1
DAL,Brandon Aubrey,kicking,75.0,52,12,3,4,3,3
DEN,Wil Lutz,kicking,100.0,44,7,1,1,4,4
DET,Jake Bates,kicking,0.0,0,6,0,1,6,6
GB,Brandon McManus,kicking,100.0,39,12,3,3,3,3
HOU,Ka'imi Fairbairn,kicking,100.0,44,8,2,2,2,2
IND,Matt Gay,kicking,100.0,49,7,2,2,1,1
JAX,Cam Little,kicking,100.0,43,13,4,4,1,1
KC,Harrison Butker,kicking,0.0,0,3,0,1,3,3
LAC,Cameron Dicker,kicking,100.0,41,5,1,1,2,2
LAR,Joshua Karty,kicking,100.0,48,12,4,4,0,0
LV,Daniel Carlson,kicking,100.0,52,3,1,1,0,1
MIA,Jason Sanders,kicking,100.0,55,6,2,2,0,1
MIN,Will Reichard,kicking,100.0,52,12,3,3,3,3
NE,Joey Slye,kicking,50.0,50,5,1,2,2,2
NO,Blake Grupe,kicking,100.0,51,7,2,2,1,1
NYG,Graham Gano,kicking,0.0,0,2,0,0,2,2
NYJ,Anders Carlson,kicking,50.0,43,6,1,2,3,3
PHI,Jake Elliott,kicking,100.0,41,9,2,2,3,3
PIT,Chris Boswell,kicking,100.0,49,7,2,2,1,1
SEA,Jason Myers,kicking,100.0,48,7,2,2,1,1
SF,Jake Moody,kicking,100.0,53,6,2,2,0,0
TB,Chase McLaughlin,kicking,100.0,43,16,4,4,4,4
TEN,Nick Folk,kicking,0.0,0,3,0,0,3,3
WSH,Greg Joseph,kicking,66.7,41,8,2,3,2,2
