team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Michael Palardy,punting,2,97,48.5,1,0,54
ATL,Bradley Pinion,punting,6,265,44.2,2,4,63
BAL,Jordan Stout,punting,2,92,46.0,0,2,50
BUF,Sam Martin,punting,1,51,51.0,0,1,51
CAR,Johnny Hekker,punting,4,190,47.5,0,0,53
CHI,Tory Taylor,punting,3,142,47.3,0,2,51
CIN,Ryan Rehkow,punting,1,36,36.0,0,1,36
CLE,Corey Bojorquez,punting,6,289,48.2,0,5,68
DAL,Bryan Anger,punting,2,113,56.5,0,1,57
DEN,Riley Dixon,punting,6,287,47.8,2,3,57
DET,Jack Fox,punting,3,167,55.7,0,1,60
GB,Daniel Whelan,punting,4,170,42.5,0,1,51
HOU,Tommy Townsend,punting,5,250,50.0,0,1,58
IND,Rigoberto Sanchez,punting,5,259,51.8,0,0,54
JAX,Logan Cooke,punting,2,94,47.0,0,2,57
KC,Matt Araiza,punting,9,399,44.3,1,2,58
LAC,JK Scott,punting,3,141,47.0,1,2,57
LAR,Ethan Evans,punting,6,325,54.2,0,2,68
LV,AJ Cole,punting,4,159,39.8,0,1,47
MIA,Jake Bailey,punting,3,181,60.3,0,1,64
MIN,Ryan Wright,punting,2,104,52.0,0,0,55
NE,Bryce Baringer,punting,2,110,55.0,0,1,57
NO,Matthew Hayball,punting,4,187,46.8,0,2,53
NYG,Jamie Gillan,punting,3,118,39.3,0,1,51
NYJ,Thomas Morstead,punting,3,125,41.7,0,1,54
PHI,Braden Mann,punting,1,29,29.0,0,0,29
PIT,Corliss Waitman,punting,5,215,43.0,0,2,49
SEA,Michael Dickson,punting,6,279,46.5,0,3,53
SF,Pat O'Donnell,punting,7,316,45.1,0,2,55
TEN,Ryan Stonehouse,punting,1,67,67.0,0,0,67
WSH,Tress Way,punting,3,138,46.0,0,1,51
