team,player,category,INT,YDS,TD
ARI,Dadrion Taylor-Demerson,interceptions,1,0,0
DET,Alex Anzalone,interceptions,1,14,0
DET,Amik Robertson,interceptions,1,2,0
DET,Kerby Joseph,interceptions,1,1,0
HOU,Jalen Pitre,interceptions,2,20,0
HOU,Kamari Lassiter,interceptions,1,0,0
IND,Mekhi Blackmon,interceptions,1,32,0
IND,Laiatu Latu,interceptions,1,0,0
JAX,Devin Lloyd,interceptions,1,99,1
KC,Trent McDuffie,interceptions,1,2,0
MIA,Minkah Fitzpatrick,interceptions,1,7,0
NE,Marcus Jones,interceptions,1,0,0
NO,Kool-Aid McKinstry,interceptions,2,0,0
TB,Lavonte David,interceptions,1,3,0
WSH,Mike Sainristil,interceptions,1,0,0
