team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,7,367,52.4,1,2,63
BAL,Jordan Stout,punting,4,182,45.5,0,1,60
BUF,Mitch Wishnowsky,punting,2,70,35.0,0,1,43
CAR,Sam Martin,punting,3,161,53.7,0,0,61
CIN,Ryan Rehkow,punting,4,220,55.0,3,0,65
CLE,Corey Bojorquez,punting,8,360,45.0,1,2,57
DAL,Bryan Anger,punting,5,228,45.6,0,0,54
DEN,Jeremy Crawshaw,punting,7,328,46.9,1,5,63
DET,Jack Fox,punting,5,224,44.8,0,4,64
HOU,Tommy Townsend,punting,1,59,59.0,0,0,59
IND,Rigoberto Sanchez,punting,2,101,50.5,0,2,56
JAX,Logan Cooke,punting,2,105,52.5,0,1,53
KC,Matt Araiza,punting,4,164,41.0,0,4,55
LAC,JK Scott,punting,2,96,48.0,0,1,54
LAR,Ethan Evans,punting,2,110,55.0,0,2,59
LV,Daniel Carlson,punting,1,30,30.0,0,0,30
MIA,Jake Bailey,punting,6,312,52.0,0,3,61
MIN,Ryan Wright,punting,5,286,57.2,0,2,77
NE,Bryce Baringer,punting,4,191,47.8,1,3,73
NO,Kai Kroeger,punting,2,83,41.5,0,0,51
NYG,Jamie Gillan,punting,2,75,37.5,0,2,40
NYJ,Austin McNamara,punting,4,176,44.0,0,1,58
PHI,Braden Mann,punting,7,359,51.3,2,0,69
SEA,Michael Dickson,punting,1,38,38.0,0,1,38
SF,Thomas Morstead,punting,4,168,42.0,0,2,50
TB,Riley Dixon,punting,2,91,45.5,0,1,51
TEN,Johnny Hekker,punting,5,271,54.2,1,3,64
WSH,Tress Way,punting,2,101,50.5,1,1,53
