team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
PHI,Jalen Hurts,passing,2903,7.81,18,5,0.0,62.35,102.27,248,361
PHI,Kenny Pickett,passing,291,4.5,2,1,0.0,46.1,71.85,25,42
PHI,Saquon Barkley,passing,0,0.0,0,0,0.0,0.0,0.0,0,0
PHI,Tanner McKee,passing,323,10.05,4,0,0.0,79.25,128.4,30,45
