team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,4,177,44.3,1,0,56
ATL,Bradley Pinion,punting,6,282,47.0,0,1,52
BAL,Jordan Stout,punting,3,181,60.3,1,1,69
CAR,Johnny Hekker,punting,7,360,51.4,1,2,62
CHI,Trenton Gill,punting,2,81,40.5,0,1,46
CIN,Kevin Huber,punting,2,93,46.5,0,0,56
CLE,Corey Bojorquez,punting,3,173,57.7,1,1,76
DAL,Bryan Anger,punting,5,243,48.6,1,0,56
DEN,Corliss Waitman,punting,6,240,40.0,0,3,46
DET,Jack Fox,punting,3,144,48.0,1,0,54
GB,Pat O'Donnell,punting,5,208,41.6,0,2,55
HOU,Cameron Johnston,punting,1,55,55.0,0,1,55
IND,Matt Haack,punting,5,176,35.2,1,0,60
JAX,Logan Cooke,punting,2,106,53.0,0,0,57
KC,Tommy Townsend,punting,1,33,33.0,0,1,33
LAC,JK Scott,punting,5,228,45.6,0,3,50
LV,AJ Cole,punting,2,93,46.5,0,1,50
MIA,Thomas Morstead,punting,6,256,42.7,0,4,53
NE,Jake Bailey,punting,4,160,40.0,0,0,47
NO,Blake Gillikin,punting,2,94,47.0,0,2,58
NYG,Jamie Gillan,punting,2,80,40.0,1,0,46
NYJ,Braden Mann,punting,8,438,54.8,3,2,72
PIT,Pressley Harvin III,punting,6,251,41.8,0,2,57
SEA,Michael Dickson,punting,1,46,46.0,0,1,46
SF,Mitch Wishnowsky,punting,1,29,29.0,0,1,29
TB,Jake Camarda,punting,6,279,46.5,2,2,62
TEN,Ryan Stonehouse,punting,3,164,54.7,0,0,58
WSH,Tress Way,punting,4,192,48.0,0,3,68
