team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Rodrigo Blankenship,kicking,100.0,50,8,2,2,2,3
ATL,Younghoe Koo,kicking,100.0,43,5,1,1,2,2
BAL,Justin Tucker,kicking,100.0,55,11,3,3,2,2
CAR,Eddy Pineiro,kicking,0.0,0,3,0,0,3,3
CHI,Cairo Santos,kicking,100.0,50,15,4,4,3,3
CIN,Evan McPherson,kicking,0.0,0,5,0,0,5,5
CLE,Cade York,kicking,67.0,41,8,2,3,2,2
DAL,Brett Maher,kicking,100.0,22,6,1,1,3,3
DEN,Brandon McManus,kicking,50.0,44,3,1,2,0,1
DET,Michael Badgley,kicking,100.0,53,6,2,2,0,0
GB,Mason Crosby,kicking,0.0,0,3,0,0,3,3
HOU,Ka'imi Fairbairn,kicking,67.0,55,8,2,3,2,2
IND,Chase McLaughlin,kicking,100.0,50,4,1,1,1,1
JAX,Riley Patterson,kicking,100.0,27,3,1,1,0,1
KC,Harrison Butker,kicking,0.0,0,6,0,1,6,6
LAC,Taylor Bertolet,kicking,0.0,0,3,0,0,3,3
LV,Daniel Carlson,kicking,100.0,50,8,1,1,5,5
MIA,Jason Sanders,kicking,100.0,47,10,3,3,1,1
NE,Nick Folk,kicking,0.0,0,2,0,0,2,2
NO,Wil Lutz,kicking,100.0,45,10,2,2,4,4
NYG,Graham Gano,kicking,100.0,34,11,3,3,2,2
NYJ,Greg Zuerlein,kicking,100.0,45,10,3,3,1,1
PIT,Chris Boswell,kicking,100.0,45,4,1,1,1,1
SEA,Jason Myers,kicking,100.0,50,13,3,3,4,4
SF,Robbie Gould,kicking,100.0,50,11,3,3,2,2
TB,Ryan Succop,kicking,100.0,27,3,1,1,0,0
TEN,Randy Bullock,kicking,100.0,48,13,4,4,1,1
WSH,Joey Slye,kicking,75.0,31,11,3,4,2,2
