team,player,category,REC,YDS,AVG,TD,LONG,TGTS
NO,Adam Prentice,receiving,3,9,3.0,0,4,3
NO,Adam Trautman,receiving,18,207,11.11,1,22,22
NO,Alvin Kamara,receiving,57,490,8.03,2,54,77
NO,Chris Olave,receiving,72,1042,14.41,4,53,119
NO,David Johnson,receiving,4,47,11.0,0,21,4
NO,Deonte Harty,receiving,2,13,6.5,0,9,2
NO,Dwayne Washington,receiving,1,7,7.0,0,7,1
NO,Eno Benjamin,receiving,1,9,9.0,0,9,1
NO,Jarvis Landry,receiving,25,272,8.6,1,40,39
NO,Juwan Johnson,receiving,42,508,11.49,7,41,65
NO,Keith Kirkwood,receiving,2,18,6.0,0,14,4
NO,Kevin White,receiving,2,74,18.5,0,64,5
NO,Latavius Murray,receiving,1,8,8.0,0,8,1
NO,Mark Ingram II,receiving,16,68,3.69,0,11,18
NO,Marquez Callaway,receiving,16,158,7.02,1,33,32
NO,Michael Thomas,receiving,16,171,10.67,3,21,22
NO,Nick Vannett,receiving,2,13,6.5,0,8,2
NO,Rashid Shaheed,receiving,28,488,17.95,2,68,34
NO,Taysom Hill,receiving,9,77,6.61,2,30,13
NO,Tony Jones Jr.,receiving,2,12,6.0,0,7,2
NO,Tre'Quan Smith,receiving,19,278,11.57,1,48,27
