team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,266,12.7,3,0,1,17,21
ATL,Kirk Cousins,passing,241,8.3,2,0,1,20,29
BAL,Lamar Jackson,passing,247,7.3,1,1,2,21,34
BUF,Josh Allen,passing,139,7.3,1,0,0,13,19
CAR,Bryce Young,passing,84,3.2,0,1,2,18,26
CHI,Caleb Williams,passing,174,4.7,0,2,7,23,37
CIN,Joe Burrow,passing,258,7.2,2,0,3,23,36
CLE,Deshaun Watson,passing,186,5.5,0,0,2,22,34
DAL,Cooper Rush,passing,6,2.0,0,0,0,1,3
DAL,Dak Prescott,passing,293,7.5,1,2,3,27,39
DEN,Bo Nix,passing,246,7.0,0,2,2,20,35
DET,Jared Goff,passing,307,5.6,0,2,0,34,55
DET,Jack Fox,passing,17,17.0,0,0,0,1,1
GB,Malik Willis,passing,122,8.7,1,0,0,12,14
HOU,C.J. Stroud,passing,260,7.2,1,0,3,23,36
IND,Anthony Richardson Sr.,passing,204,6.0,1,3,1,17,34
JAX,Trevor Lawrence,passing,220,7.3,0,0,4,14,30
KC,Patrick Mahomes,passing,151,6.0,2,2,2,18,25
LAC,Justin Herbert,passing,130,6.5,2,1,1,14,20
LAR,Matthew Stafford,passing,216,8.0,0,0,5,19,27
LV,Gardner Minshew II,passing,276,7.3,1,1,5,30,38
MIA,Tua Tagovailoa,passing,145,5.8,1,3,1,17,25
MIA,Skylar Thompson,passing,80,5.7,0,0,1,8,14
MIN,Sam Darnold,passing,268,10.3,2,1,3,17,26
MIN,Ty Chandler,passing,0,0.0,0,0,1,0,0
NE,Jacoby Brissett,passing,149,5.5,1,0,3,15,27
NO,Derek Carr,passing,243,15.2,2,1,1,11,16
NYG,Daniel Jones,passing,178,6.4,2,0,1,16,28
NYJ,Aaron Rodgers,passing,176,5.9,2,0,2,18,30
PHI,Jalen Hurts,passing,183,6.1,1,1,1,23,30
PIT,Justin Fields,passing,117,5.9,1,0,2,13,20
SEA,Geno Smith,passing,327,7.4,1,0,3,33,44
SF,Brock Purdy,passing,319,8.9,1,1,6,28,36
TB,Baker Mayfield,passing,185,9.7,1,1,5,12,19
TEN,Will Levis,passing,192,6.9,1,1,4,19,28
WSH,Jayden Daniels,passing,226,7.8,0,0,5,23,29
