team,player,category,CAR,YDS,AVG,TD,LONG
ARI,Clayton Tune,rushing,1,-6,-6.0,0,-6
ARI,Trey Benson,rushing,11,10,0.9,0,4
ARI,Emari Demercado,rushing,2,46,23.0,0,41
ARI,Kyler Murray,rushing,5,59,11.8,0,26
ARI,James Conner,rushing,21,122,5.8,1,22
ATL,Kirk Cousins,rushing,4,-1,-0.3,0,1
ATL,Tyler Allgeier,rushing,9,53,5.9,0,15
ATL,Bijan Robinson,rushing,14,97,6.9,0,19
ATL,Ray-Ray McCloud III,rushing,1,3,3.0,0,3
BAL,Derrick Henry,rushing,18,84,4.7,1,29
BAL,Lamar Jackson,rushing,5,45,9.0,0,25
BAL,Justice Hill,rushing,4,22,5.5,0,14
BUF,Mitchell Trubisky,rushing,2,-2,-1.0,0,-1
BUF,Ty Johnson,rushing,1,-1,-1.0,0,-1
BUF,Josh Allen,rushing,2,2,1.0,0,3
BUF,Khalil Shakir,rushing,1,2,2.0,0,2
BUF,Ray Davis,rushing,9,29,3.2,0,10
BUF,James Cook III,rushing,11,78,7.1,2,49
CAR,Bryce Young,rushing,1,6,6.0,0,6
CAR,Miles Sanders,rushing,7,20,2.9,0,6
CAR,Chuba Hubbard,rushing,10,64,6.4,0,23
CHI,D'Andre Swift,rushing,14,18,1.3,0,7
CHI,Travis Homer,rushing,1,6,6.0,0,6
CHI,Khalil Herbert,rushing,2,3,1.5,1,2
CHI,Caleb Williams,rushing,5,44,8.8,0,24
CIN,Chase Brown,rushing,4,31,7.8,0,12
CIN,Zack Moss,rushing,12,34,2.8,0,8
CIN,Joe Burrow,rushing,6,9,1.5,0,4
CLE,D'Onta Foreman,rushing,14,42,3.0,0,9
CLE,Jerome Ford,rushing,7,64,9.1,0,36
CLE,Pierre Strong Jr.,rushing,1,-5,-5.0,0,-5
CLE,Jameis Winston,rushing,2,4,2.0,0,2
CLE,Deshaun Watson,rushing,5,20,4.0,1,9
DAL,Brandin Cooks,rushing,1,-3,-3.0,0,-3
DAL,Ezekiel Elliott,rushing,6,16,2.7,0,7
DAL,Dak Prescott,rushing,2,12,6.0,0,8
DAL,Deuce Vaughn,rushing,4,11,2.8,0,4
DAL,Rico Dowdle,rushing,7,30,4.3,0,7
DAL,KaVontae Turpin,rushing,1,2,2.0,0,2
DEN,Javonte Williams,rushing,11,17,1.5,0,5
DEN,Tyler Badie,rushing,1,16,16.0,0,16
DEN,Jaleel McLaughlin,rushing,3,6,2.0,0,7
DEN,Bo Nix,rushing,4,25,6.3,0,13
DET,Jameson Williams,rushing,1,15,15.0,0,15
DET,Jared Goff,rushing,2,5,2.5,0,3
DET,David Montgomery,rushing,11,35,3.2,1,9
DET,Jahmyr Gibbs,rushing,13,84,6.5,0,24
GB,Josh Jacobs,rushing,32,151,4.7,0,34
GB,Malik Willis,rushing,6,41,6.8,0,19
GB,Jayden Reed,rushing,2,37,18.5,0,22
GB,MarShawn Lloyd,rushing,6,15,2.5,0,5
GB,Emanuel Wilson,rushing,5,9,1.8,0,4
GB,Bo Melton,rushing,2,8,4.0,0,16
HOU,C.J. Stroud,rushing,1,-1,-1.0,0,-1
HOU,Dare Ogunbowale,rushing,2,3,1.5,0,3
HOU,Tank Dell,rushing,3,16,5.3,0,18
HOU,Joe Mixon,rushing,9,25,2.8,0,16
HOU,Cam Akers,rushing,7,32,4.6,0,13
IND,Trey Sermon,rushing,2,0,0.0,0,4
IND,Anthony Richardson Sr.,rushing,4,37,9.3,0,21
IND,Jonathan Taylor,rushing,12,103,8.6,0,29
JAX,Travis Etienne Jr.,rushing,13,52,4.0,1,20
JAX,Trevor Lawrence,rushing,2,45,22.5,0,33
JAX,D'Ernest Johnson,rushing,5,26,5.2,0,9
JAX,Devin Duvernay,rushing,1,4,4.0,0,4
KC,Xavier Worthy,rushing,1,5,5.0,0,5
KC,Travis Kelce,rushing,1,1,1.0,0,1
KC,Isiah Pacheco,rushing,19,90,4.7,0,11
