team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,1,60,60.0,0,0,60
ATL,Bradley Pinion,punting,2,89,44.5,0,0,45
BAL,Jordan Stout,punting,4,173,43.3,0,0,57
BUF,Sam Martin,punting,3,149,49.7,1,2,65
CAR,Johnny Hekker,punting,7,311,44.4,0,2,64
CHI,Tory Taylor,punting,6,284,47.3,0,2,57
CIN,Ryan Rehkow,punting,2,98,49.0,0,0,53
CLE,Corey Bojorquez,punting,5,218,43.6,1,3,64
DAL,Bryan Anger,punting,1,53,53.0,0,1,53
DEN,Riley Dixon,punting,6,315,52.5,0,3,58
DET,Jack Fox,punting,2,67,33.5,0,2,35
GB,Daniel Whelan,punting,3,139,46.3,0,3,59
HOU,Tommy Townsend,punting,6,267,44.5,0,2,60
IND,Rigoberto Sanchez,punting,3,161,53.7,1,2,59
JAX,Logan Cooke,punting,3,156,52.0,0,1,55
KC,Matt Araiza,punting,2,112,56.0,0,2,63
LAC,JK Scott,punting,3,129,43.0,1,2,47
LAR,Ethan Evans,punting,4,215,53.8,0,2,63
LV,AJ Cole,punting,3,128,42.7,0,0,54
MIA,Jake Bailey,punting,1,48,48.0,0,1,48
MIN,Ryan Wright,punting,3,151,50.3,1,1,56
NE,Bryce Baringer,punting,6,342,57.0,1,3,67
NO,Matthew Hayball,punting,1,49,49.0,0,1,49
NYG,Jamie Gillan,punting,2,87,43.5,0,1,60
NYJ,Thomas Morstead,punting,6,302,50.3,0,2,57
PHI,Braden Mann,punting,2,93,46.5,0,1,53
PIT,Corliss Waitman,punting,8,424,53.0,3,2,58
SEA,Michael Dickson,punting,5,269,53.8,1,1,61
SF,Mitch Wishnowsky,punting,2,99,49.5,0,2,58
TB,Jake Camarda,punting,5,230,46.0,0,2,51
TEN,Ryan Stonehouse,punting,4,226,56.5,0,1,63
