team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,57,11,2,2,5,5
ATL,Younghoe Koo,kicking,100.0,39,10,3,3,1,1
BAL,Justin Tucker,kicking,75.0,48,11,3,4,2,2
BUF,Tyler Bass,kicking,50.0,43,7,1,2,4,4
CAR,Eddy Pineiro,kicking,100.0,38,3,1,1,0,0
CHI,Cairo Santos,kicking,100.0,54,7,2,2,1,1
CIN,Evan McPherson,kicking,100.0,53,13,4,4,1,2
CLE,Dustin Hopkins,kicking,100.0,53,10,3,3,1,1
DAL,Brandon Aubrey,kicking,100.0,52,13,4,4,1,1
DEN,Wil Lutz,kicking,100.0,35,6,2,2,0,0
DET,Jake Bates,kicking,100.0,35,10,3,3,1,1
GB,Brayden Narveson,kicking,75.0,46,10,3,4,1,1
HOU,Ka'imi Fairbairn,kicking,100.0,59,13,4,4,1,1
IND,Matt Gay,kicking,50.0,34,4,1,2,1,1
JAX,Cam Little,kicking,67.0,25,7,2,3,1,1
KC,Harrison Butker,kicking,100.0,51,8,2,2,2,2
LAC,Cameron Dicker,kicking,100.0,46,8,2,2,2,3
LAR,Joshua Karty,kicking,100.0,29,4,1,1,1,1
LV,Daniel Carlson,kicking,100.0,53,14,4,4,2,2
MIA,Jason Sanders,kicking,100.0,34,4,1,1,1,1
MIN,Will Reichard,kicking,100.0,39,11,3,3,2,2
NE,Joey Slye,kicking,67.0,29,8,2,3,2,2
NO,Blake Grupe,kicking,100.0,26,8,1,1,5,6
NYG,Jamie Gillan,kicking,0.0,0,0,0,0,0,1
NYJ,Greg Zuerlein,kicking,100.0,33,6,1,1,3,3
PHI,Jake Elliott,kicking,100.0,29,7,2,2,1,1
PIT,Chris Boswell,kicking,100.0,53,7,2,2,1,1
SEA,Jason Myers,kicking,100.0,44,11,3,3,2,2
SF,Jake Moody,kicking,100.0,31,5,1,1,2,2
TB,Chase McLaughlin,kicking,100.0,55,8,2,2,2,2
TEN,Nick Folk,kicking,100.0,41,5,1,1,2,2
WSH,Austin Seibert,kicking,100.0,45,21,7,7,0,0
