week,opponent,result
1,MIA,LOSS
2,TEN,LOSS
3,MIN,WIN
4,LV,WIN
5,BYE,BYE
6,DAL,LOSS
7,KC,LOSS
8,CHI,WIN
9,NYJ,WIN
10,DET,LOSS
11,GB,LOSS
12,BAL,LOSS
13,NE,WIN
14,DEN,LOSS
15,LV,LOSS
16,BUF,LOSS
17,DEN,LOSS
18,KC,LOSS
