team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Matt Haack,punting,2,109,54.5,0,1,57
ATL,Bradley Pinion,punting,4,229,57.3,0,2,69
BAL,Jordan Stout,punting,4,191,47.8,0,3,54
CAR,Sam Martin,punting,3,139,46.3,1,1,50
CHI,Tory Taylor,punting,4,178,44.5,0,0,54
CIN,Ryan Rehkow,punting,5,222,44.4,0,4,58
CLE,Corey Bojorquez,punting,5,225,45.0,0,1,52
DAL,Bryan Anger,punting,2,110,57.0,0,0,65
DEN,Jeremy Crawshaw,punting,6,287,47.8,1,1,54
DET,Jack Fox,punting,2,93,46.5,0,1,59
GB,Daniel Whelan,punting,8,431,53.9,1,5,68
HOU,Tommy Townsend,punting,3,121,40.3,0,2,45
IND,Rigoberto Sanchez,punting,2,90,45.0,0,0,49
JAX,Logan Cooke,punting,3,138,46.0,0,1,60
KC,Matt Araiza,punting,6,308,51.3,0,3,59
LAC,JK Scott,punting,7,355,50.7,1,4,58
LAR,Ethan Evans,punting,2,117,58.5,0,0,64
LV,AJ Cole,punting,6,307,51.2,0,2,56
MIA,Jake Bailey,punting,6,245,40.8,0,0,50
MIN,Ryan Wright,punting,4,196,49.0,0,2,55
NE,Bryce Baringer,punting,3,155,51.7,0,3,56
NO,Kai Kroeger,punting,4,203,50.8,0,1,55
NYG,Jamie Gillan,punting,2,84,42.0,0,1,48
NYJ,Austin McNamara,punting,5,211,42.2,0,2,50
PHI,Braden Mann,punting,3,115,38.3,0,1,44
PIT,Corliss Waitman,punting,3,119,39.7,0,1,53
SEA,Michael Dickson,punting,1,36,36.0,0,1,36
SF,Thomas Morstead,punting,4,181,45.3,0,1,50
TB,Riley Dixon,punting,3,130,43.3,0,3,46
TEN,Johnny Hekker,punting,5,243,48.6,0,2,57
WSH,Tress Way,punting,3,159,53.0,0,1,71
