team,player,category,INT,YDS,TD
ATL,Dee Alford,interceptions,1,59,0
CAR,Christian Rozeboom,interceptions,1,20,0
CHI,Kevin Byard,interceptions,1,21,0
CLE,Devin Bush,interceptions,1,97,1
DEN,Ja'Quan McMillian,interceptions,1,45,1
DET,Avonte Maddox,interceptions,1,0,0
HOU,Alijah Huzzie,interceptions,1,0,0
JAX,Antonio Johnson,interceptions,1,58,1
KC,Chamarri Conner,interceptions,1,1,0
LAR,Ahkello Witherspoon,interceptions,1,0,0
NE,Jaylinn Hawkins,interceptions,1,0,0
NO,Carl Granderson,interceptions,1,0,0
NYG,Bobby Okereke,interceptions,1,7,0
PHI,Jalyx Hunt,interceptions,1,0,0
PIT,T.J. Watt,interceptions,1,0,0
SEA,Drake Thomas,interceptions,1,0,0
TB,Jacob Parrish,interceptions,1,0,0
WSH,Jeremy Reaves,interceptions,1,28,0
