week,opponent,result
1,MIA,WIN
2,DEN,WIN
3,TEN,WIN
4,LAR,LOSS
5,LV,WIN
6,ARI,WIN
7,LAC,WIN
8,TEN,WIN
9,PIT,LOSS
10,ATL,WIN
11,BYE,BYE
12,KC,LOSS
13,HOU,LOSS
14,JAX,LOSS
15,SEA,LOSS
16,SF,LOSS
17,JAX,LOSS
18,HOU,LOSS
