team,player,category,CAR,YDS,AVG,TD,LONG
BAL,Andy Isabella,rushing,1,1,1.0,0,1
BAL,Anthony Brown Jr.,rushing,3,-5,-1.7,0,-1
BAL,Devin Duvernay,rushing,12,84,6.67,1,18
BAL,Gus Edwards,rushing,87,433,4.67,3,37
BAL,J.K. Dobbins,rushing,92,520,5.26,2,44
BAL,Justice Hill,rushing,49,262,4.59,0,34
BAL,Kenyan Drake,rushing,109,482,4.19,4,40
BAL,Lamar Jackson,rushing,112,764,7.04,3,79
BAL,Mark Andrews,rushing,3,8,2.67,0,4
BAL,Mike Davis,rushing,8,18,3.1,0,10
BAL,Patrick Ricard,rushing,7,16,2.29,0,5
BAL,Tyler Huntley,rushing,43,137,3.16,1,14
