week,opponent,result
1,LV,WIN
2,KC,LOSS
3,JAX,LOSS
4,HOU,WIN
5,CLE,WIN
6,DEN,WIN
7,SEA,LOSS
8,BYE,BYE
9,ATL,WIN
10,SF,LOSS
11,KC,LOSS
12,ARI,WIN
13,LV,LOSS
14,MIA,WIN
15,TEN,WIN
16,IND,WIN
17,LAR,WIN
18,DEN,LOSS
