team,player,category,FUM,LOST
JAX,Andre Cisco,fumbles,1,0
JAX,Angelo Blackson,fumbles,0,0
JAX,C.J. Beathard,fumbles,1,0
JAX,Calvin Ridley,fumbles,1,0
JAX,Christian Kirk,fumbles,2,2
JAX,D'Ernest Johnson,fumbles,0,0
JAX,Devin Lloyd,fumbles,0,0
JAX,Evan Engram,fumbles,3,2
JAX,Foyesade Oluokun,fumbles,0,0
JAX,Jamal Agnew,fumbles,1,1
JAX,Jeremiah Ledbetter,fumbles,0,0
JAX,Luke Fortner,fumbles,2,0
JAX,Parker Washington,fumbles,2,1
JAX,Ross Matiscik,fumbles,0,0
JAX,Tank Bigsby,fumbles,2,2
JAX,Tevaughn Campbell,fumbles,1,1
JAX,Tim Jones,fumbles,0,0
JAX,Travon Walker,fumbles,0,0
JAX,Trevor Lawrence,fumbles,12,7
