team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,31,7,1,1,4,4
ATL,Younghoe Koo,kicking,100.0,36,12,3,3,3,3
BAL,Justin Tucker,kicking,100.0,45,5,1,1,2,2
CAR,Zane Gonzalez,kicking,100.0,45,3,1,1,0,0
CHI,Cairo Santos,kicking,100.0,28,3,1,1,0,0
CIN,Evan McPherson,kicking,100.0,52,11,2,2,5,5
CLE,Chase McLaughlin,kicking,50.0,52,5,1,2,2,2
DEN,Brandon McManus,kicking,0.0,0,2,0,0,2,2
DET,Austin Seibert,kicking,100.0,47,13,4,4,1,1
GB,Mason Crosby,kicking,50.0,39,6,1,2,3,3
HOU,Ka'imi Fairbairn,kicking,100.0,53,3,1,1,0,0
IND,Michael Badgley,kicking,100.0,42,6,1,1,3,3
KC,Harrison Butker,kicking,50.0,42,3,1,2,0,0
LAR,Matt Gay,kicking,100.0,47,8,2,2,2,2
LV,Daniel Carlson,kicking,100.0,39,9,2,2,3,4
MIA,Jason Sanders,kicking,0.0,0,4,0,1,4,4
NE,Nick Folk,kicking,100.0,50,12,2,2,6,7
NO,Brian Johnson,kicking,100.0,33,7,2,2,1,1
NYG,Graham Gano,kicking,100.0,53,11,3,3,2,2
NYJ,Matt Ammendola,kicking,0.0,0,1,0,1,1,1
PHI,Jake Elliott,kicking,0.0,0,2,0,0,2,2
SEA,Jason Myers,kicking,33.0,50,4,1,3,1,1
SF,Joey Slye,kicking,100.0,56,6,2,2,0,1
TB,Ryan Succop,kicking,50.0,22,8,1,2,5,5
TEN,Randy Bullock,kicking,100.0,51,9,2,2,3,3
WSH,Chris Blewitt,kicking,50.0,45,4,1,2,1,1
