team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,56,10,3,3,1,1
ATL,Younghoe Koo,kicking,100.0,37,9,3,3,0,0
BAL,Justin Tucker,kicking,75.0,27,9,3,4,0,0
BUF,Tyler Bass,kicking,0.0,0,3,0,1,3,4
CAR,Eddy Pineiro,kicking,100.0,40,13,3,3,4,4
CHI,Cairo Santos,kicking,100.0,37,7,2,2,1,1
CIN,Evan McPherson,kicking,50.0,28,4,1,2,1,2
CLE,Cade York,kicking,100.0,30,4,1,1,1,1
DAL,Brett Maher,kicking,100.0,48,16,4,4,4,4
DEN,Brandon McManus,kicking,100.0,54,6,2,2,0,0
DET,Michael Badgley,kicking,100.0,34,5,1,1,2,2
GB,Mason Crosby,kicking,100.0,46,14,4,4,2,2
HOU,Ka'imi Fairbairn,kicking,100.0,25,7,2,2,1,1
IND,Chase McLaughlin,kicking,100.0,46,3,1,1,0,0
JAX,Riley Patterson,kicking,80.0,45,13,4,5,1,1
KC,Harrison Butker,kicking,100.0,47,6,1,1,3,3
LAC,Cameron Dicker,kicking,100.0,24,8,2,2,2,2
LAR,Matt Gay,kicking,100.0,55,15,3,3,6,6
LV,Daniel Carlson,kicking,100.0,40,4,1,1,1,1
MIA,Jason Sanders,kicking,67.0,46,8,2,3,2,2
MIN,Greg Joseph,kicking,100.0,61,9,2,2,3,3
NE,Nick Folk,kicking,0.0,0,0,0,0,0,2
NO,Wil Lutz,kicking,100.0,23,5,1,1,2,2
NYG,Graham Gano,kicking,100.0,55,10,3,3,1,1
NYJ,Greg Zuerlein,kicking,100.0,37,3,1,1,0,0
PHI,Jake Elliott,kicking,100.0,47,10,2,2,4,4
PIT,Chris Boswell,kicking,50.0,44,7,2,4,1,1
SEA,Jason Myers,kicking,100.0,22,4,1,1,1,1
SF,Robbie Gould,kicking,100.0,35,13,3,3,4,4
TB,Ryan Succop,kicking,100.0,42,13,4,4,1,1
TEN,Randy Bullock,kicking,0.0,0,2,0,0,2,2
WSH,Joey Slye,kicking,0.0,0,2,0,0,2,2
