team,player,category,FUM,LOST
ARI,Trace McSorley,fumbles,2,2
ATL,Desmond Ridder,fumbles,1,0
ATL,Drake London,fumbles,1,1
BAL,Patrick Queen,fumbles,0,0
BAL,Ben Powers,fumbles,0,0
BAL,Tyler Huntley,fumbles,1,0
BUF,Nyheim Hines,fumbles,1,0
BUF,Josh Allen,fumbles,1,0
BUF,Tim Settle,fumbles,0,0
BUF,Gabe Davis,fumbles,1,1
CAR,Yetur Gross-Matos,fumbles,0,0
CAR,C.J. Henderson,fumbles,0,0
CAR,Shi Smith,fumbles,1,0
CHI,David Montgomery,fumbles,1,1
CHI,Sam Mustipher,fumbles,1,0
CHI,Elijah Hicks,fumbles,0,0
CHI,Justin Fields,fumbles,0,0
CIN,B.J. Hill,fumbles,0,0
CIN,Ja'Marr Chase,fumbles,1,1
DAL,Jayron Kearse,fumbles,0,0
DAL,Anthony Barr,fumbles,0,0
DAL,Tyler Biadasz,fumbles,0,0
DAL,Dak Prescott,fumbles,1,0
DET,Jared Goff,fumbles,1,1
GB,Jarran Reed,fumbles,0,0
GB,Aaron Rodgers,fumbles,1,0
GB,AJ Dillon,fumbles,0,0
HOU,Rex Burkhead,fumbles,0,0
HOU,Davis Mills,fumbles,2,0
HOU,Jonathan Greenard,fumbles,0,0
IND,Kwity Paye,fumbles,0,0
JAX,Trevor Lawrence,fumbles,1,1
JAX,Tre Herndon,fumbles,0,0
LAC,Justin Herbert,fumbles,1,1
LAC,DeAndre Carter,fumbles,1,0
LAR,Baker Mayfield,fumbles,1,0
MIA,Robert Hunt,fumbles,0,0
MIA,Raheem Mostert,fumbles,1,1
MIA,Tua Tagovailoa,fumbles,2,0
MIN,Brian Asamoah II,fumbles,0,0
NE,Marcus Jones,fumbles,1,0
NE,Michael Palardy,fumbles,1,0
NE,Rhamondre Stevenson,fumbles,2,1
NO,Andy Dalton,fumbles,2,0
NYG,Evan Neal,fumbles,0,0
NYG,Daniel Bellinger,fumbles,1,1
NYG,Daniel Jones,fumbles,1,0
NYJ,Carl Lawson,fumbles,0,0
NYJ,Chris Streveler,fumbles,1,0
NYJ,Garrett Wilson,fumbles,1,1
PHI,Miles Sanders,fumbles,1,1
PHI,Gardner Minshew II,fumbles,2,1
SF,Jordan Willis,fumbles,0,0
TB,William Gholston,fumbles,0,0
TB,Devin White,fumbles,0,0
TEN,Malik Willis,fumbles,1,0
TEN,Derrick Henry,fumbles,1,1
WSH,Taylor Heinicke,fumbles,1,1
