team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Andy Lee,passing,4,4.0,0,0,0,1,1
ARI,Trace McSorley,passing,217,4.8,0,1,1,24,45
ATL,Desmond Ridder,passing,218,6.6,0,0,2,22,33
BAL,Tyler Huntley,passing,115,6.8,1,0,0,9,17
BUF,Josh Allen,passing,172,6.6,2,2,1,15,26
CAR,Sam Darnold,passing,250,11.4,1,0,0,15,22
CHI,Justin Fields,passing,119,5.2,1,0,2,15,23
CHI,Nathan Peterman,passing,25,5.0,0,1,0,3,5
CIN,Joe Burrow,passing,375,7.2,3,2,2,40,52
CLE,Deshaun Watson,passing,135,4.4,0,1,2,15,31
DAL,Dak Prescott,passing,347,9.9,3,1,6,27,35
DEN,Russell Wilson,passing,214,7.9,1,3,6,15,27
DEN,Brett Rypien,passing,45,5.6,0,1,0,4,8
DET,Jared Goff,passing,355,8.5,3,0,2,25,42
GB,Aaron Rodgers,passing,238,6.3,1,1,2,24,38
HOU,Jeff Driskel,passing,40,10.0,0,0,0,3,4
HOU,Davis Mills,passing,178,6.4,1,1,1,17,28
IND,Nick Foles,passing,143,4.9,0,3,7,17,29
JAX,Trevor Lawrence,passing,229,7.4,0,0,1,20,31
KC,Patrick Mahomes,passing,224,8.0,2,0,1,16,28
LAC,Justin Herbert,passing,235,7.6,0,1,4,24,31
LAR,Baker Mayfield,passing,230,8.2,2,0,0,24,28
LV,Derek Carr,passing,174,5.8,1,3,3,16,30
MIA,Tua Tagovailoa,passing,310,12.4,1,3,2,16,25
MIN,Kirk Cousins,passing,299,6.2,3,0,4,34,48
NE,Mac Jones,passing,240,7.3,2,0,4,21,33
NO,Andy Dalton,passing,92,6.1,0,1,0,8,15
NYG,Daniel Jones,passing,334,8.0,1,1,3,30,42
NYJ,Zach Wilson,passing,92,5.1,0,1,3,9,18
NYJ,Chris Streveler,passing,90,6.0,0,0,0,10,15
PHI,Gardner Minshew II,passing,355,8.9,2,2,0,24,40
PIT,Kenny Pickett,passing,244,6.3,1,1,0,26,39
SEA,Geno Smith,passing,215,5.4,1,1,2,25,40
SF,Brock Purdy,passing,234,10.6,2,1,3,15,22
TB,Tom Brady,passing,281,5.9,1,2,0,32,48
TEN,Malik Willis,passing,99,4.3,0,2,4,14,23
WSH,Carson Wentz,passing,123,7.7,1,0,0,12,16
WSH,Taylor Heinicke,passing,166,9.2,2,1,2,13,18
