team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,7,322,46.0,0,4,58
ATL,Bradley Pinion,punting,3,112,37.3,0,0,41
BAL,Jordan Stout,punting,3,115,38.3,0,1,41
BUF,Sam Martin,punting,3,161,53.7,0,1,62
CAR,Johnny Hekker,punting,3,117,39.0,1,2,52
CHI,Trenton Gill,punting,4,197,49.3,0,1,63
CIN,Drue Chrisman,punting,3,130,43.3,0,1,51
CLE,Corey Bojorquez,punting,5,213,42.6,1,3,57
DAL,Bryan Anger,punting,1,57,57.0,0,0,57
DEN,Corliss Waitman,punting,2,100,50.0,0,1,56
DET,Jack Fox,punting,4,206,51.5,0,2,54
GB,Pat O'Donnell,punting,1,46,46.0,0,0,46
HOU,Cameron Johnston,punting,5,221,44.2,0,2,53
IND,Matt Haack,punting,3,146,48.7,0,1,53
JAX,Logan Cooke,punting,2,64,32.0,0,2,38
KC,Tommy Townsend,punting,6,246,41.0,0,3,56
LAC,JK Scott,punting,4,153,38.3,1,1,42
LV,AJ Cole,punting,5,208,41.6,0,1,47
MIA,Thomas Morstead,punting,1,46,46.0,0,1,46
MIN,Ryan Wright,punting,5,241,48.2,1,1,57
NE,Michael Palardy,punting,6,238,39.7,0,1,52
NO,Blake Gillikin,punting,6,254,42.3,1,2,52
NYG,Jamie Gillan,punting,3,129,43.0,0,3,61
NYJ,Braden Mann,punting,5,201,40.2,0,2,51
PIT,Pressley Harvin III,punting,3,140,46.7,0,1,55
SEA,Michael Dickson,punting,5,238,47.6,0,1,56
SF,Mitch Wishnowsky,punting,2,80,40.0,0,1,41
TB,Jake Camarda,punting,5,244,48.8,0,0,57
TEN,Ryan Stonehouse,punting,6,301,50.2,0,1,61
WSH,Tress Way,punting,4,192,48.0,0,1,62
