team,player,category,FUM,LOST,REC
BUF,AJ Epenesa,fumbles,0,0,1
BUF,Brandon Codrington,fumbles,1,0,1
BUF,Christian Benford,fumbles,0,0,2
BUF,Dalton Kincaid,fumbles,1,0,0
BUF,Deone Walker,fumbles,0,0,1
BUF,Dorian Williams,fumbles,0,0,1
BUF,Elijah Moore,fumbles,0,0,1
BUF,James Cook III,fumbles,6,3,1
BUF,Josh Allen,fumbles,7,3,2
BUF,Keon Coleman,fumbles,1,1,0
BUF,Khalil Shakir,fumbles,1,1,0
BUF,Mecole Hardman Jr.,fumbles,1,1,0
BUF,Spencer Brown,fumbles,0,0,1
BUF,Terrel Bernard,fumbles,0,0,2
BUF,Ty Johnson,fumbles,1,0,1
