team,player,category,NO,YDS,AVG,TB,In 20,LONG
BUF,Brad Robbins,punting,4,158,39.5,0,1,48
BUF,Cameron Johnston,punting,7,308,44.1,0,2,48
BUF,Mitch Wishnowsky,punting,38,1723,45.06,3,18,62
