team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
BUF,Matt Prater,kicking,63.33,52,100,18,20,46,49
BUF,Michael Badgley,kicking,50.0,41,5,1,1,2,4
