team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
BUF,Josh Allen,passing,3668,7.94,25,10,0.0,61.7,101.22,319,460
BUF,Mitchell Trubisky,passing,313,10.13,4,0,0.0,92.17,101.53,25,35
