team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
CAR,Eddy Pineiro,kicking,86.73,56,92,25,29,17,20
CAR,Matthew Wright,kicking,0.0,0,0,0,1,0,0
