team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,5,258,51.6,1,2,55
ATL,Bradley Pinion,punting,3,96,32.0,0,1,41
BAL,Jordan Stout,punting,3,157,52.3,0,2,63
BUF,Cameron Johnston,punting,2,95,47.5,0,0,48
CAR,Sam Martin,punting,3,135,45.0,0,2,54
CHI,Tory Taylor,punting,4,176,44.0,0,1,50
CIN,Ryan Rehkow,punting,6,328,54.7,0,1,70
CLE,Corey Bojorquez,punting,6,291,48.5,2,2,58
DAL,Bryan Anger,punting,2,102,51.0,0,0,60
DEN,Jeremy Crawshaw,punting,7,330,47.1,0,3,56
DET,Jack Fox,punting,3,146,48.7,0,0,53
GB,Daniel Whelan,punting,5,265,53.0,1,0,63
HOU,Tommy Townsend,punting,6,261,43.5,0,2,66
IND,Rigoberto Sanchez,punting,1,46,46.0,0,1,46
JAX,Logan Cooke,punting,6,293,48.8,1,2,60
KC,Matt Araiza,punting,3,139,46.3,0,0,53
LAC,JK Scott,punting,5,249,49.8,1,0,60
LAR,Ethan Evans,punting,1,36,36.0,0,1,36
LV,AJ Cole,punting,6,294,49.0,0,0,56
MIA,Jake Bailey,punting,4,200,50.0,0,1,56
MIN,Ryan Wright,punting,5,220,44.0,0,2,46
NE,Bryce Baringer,punting,1,59,59.0,1,0,59
NO,Kai Kroeger,punting,5,243,48.6,0,0,61
NYG,Jamie Gillan,punting,2,61,30.5,0,2,33
NYJ,Austin McNamara,punting,2,97,48.5,0,0,51
PHI,Braden Mann,punting,4,222,55.5,0,0,64
PIT,Corliss Waitman,punting,4,169,42.3,0,3,55
SEA,Michael Dickson,punting,2,92,46.0,0,1,47
SF,Thomas Morstead,punting,3,128,42.7,0,2,48
TB,Riley Dixon,punting,4,162,40.5,1,1,60
TEN,Johnny Hekker,punting,1,52,52.0,0,0,52
WSH,Tress Way,punting,3,138,46.0,0,2,56
