week,opponent,result
1,NE,WIN
2,BAL,WIN
3,BUF,WIN
4,CIN,LOSS
5,NYJ,LOSS
6,MIN,LOSS
7,PIT,WIN
8,DET,WIN
9,CHI,WIN
10,CLE,WIN
11,BYE,BYE
12,HOU,WIN
13,SF,LOSS
14,LAC,LOSS
15,BUF,LOSS
16,GB,LOSS
17,NE,LOSS
18,NYJ,WIN
