team,player,category,INT,YDS,TD
ARI,Jalen Thompson,interceptions,1,33,0
BAL,Geno Stone,interceptions,1,0,0
CIN,Mike Hilton,interceptions,1,35,0
DAL,Leighton Vander Esch,interceptions,1,7,0
DET,C.J. Moore,interceptions,1,21,0
DET,Tracy Walker III,interceptions,1,5,0
JAX,Damien Wilson,interceptions,1,1,0
LAR,Taylor Rapp,interceptions,1,0,0
LAR,Jalen Ramsey,interceptions,1,10,0
LV,Casey Hayward,interceptions,1,0,0
MIA,Xavien Howard,interceptions,1,37,1
MIN,Blake Lynch,interceptions,1,2,0
MIN,Patrick Peterson,interceptions,1,66,1
NO,Paulson Adebo,interceptions,1,17,0
PIT,Cameron Sutton,interceptions,1,0,0
PIT,Terrell Edmunds,interceptions,1,0,0
SF,Emmanuel Moseley,interceptions,1,0,0
SF,Ambry Thomas,interceptions,1,0,0
TB,Andrew Adams,interceptions,1,17,0
WSH,Bobby McCain,interceptions,2,39,1
