team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,3,154,51.3,0,0,57
ATL,Thomas Morstead,punting,2,93,46.5,0,1,48
BAL,Sam Koch,punting,7,268,38.3,0,3,50
BUF,Matt Haack,punting,7,237,33.9,1,2,53
CAR,Lachlan Edwards,punting,2,85,42.5,0,2,50
CHI,Pat O'Donnell,punting,1,43,43.0,0,1,43
CIN,Kevin Huber,punting,7,311,44.4,1,1,57
CLE,Dustin Colquitt,punting,4,150,37.5,0,0,56
DAL,Bryan Anger,punting,1,44,44.0,0,0,44
DEN,Sam Martin,punting,3,145,48.3,0,2,65
DET,Jack Fox,punting,2,97,48.5,0,0,67
GB,Corey Bojorquez,punting,1,35,35.0,0,1,35
HOU,Cameron Johnston,punting,5,213,42.6,0,4,50
IND,Rigoberto Sanchez,punting,2,78,39.0,0,0,45
JAX,Joseph Charlton,punting,3,152,50.7,1,0,57
KC,Tommy Townsend,punting,2,101,50.5,2,0,58
LAC,Ty Long,punting,3,162,54.0,0,0,56
LAR,Johnny Hekker,punting,4,198,49.5,0,2,59
LV,AJ Cole,punting,4,181,45.3,0,2,54
MIA,Michael Palardy,punting,4,209,52.3,0,2,63
MIN,Jordan Berry,punting,6,272,45.3,0,2,57
NE,Jake Bailey,punting,3,138,46.0,1,2,47
NO,Blake Gillikin,punting,2,100,50.0,0,1,52
NYG,Riley Dixon,punting,6,306,51.0,0,1,56
NYJ,Braden Mann,punting,10,497,49.7,0,3,60
PHI,Arryn Siposs,punting,3,87,29.0,0,0,42
PIT,Pressley Harvin III,punting,8,298,37.3,0,3,49
SEA,Michael Dickson,punting,2,78,39.0,0,2,41
SF,Robbie Gould,punting,2,90,45.0,0,1,47
SF,Mitch Wishnowsky,punting,2,85,42.5,0,0,43
TB,Bradley Pinion,punting,3,133,44.3,0,0,46
TEN,Brett Kern,punting,4,197,49.3,0,1,53
WSH,Tress Way,punting,6,245,40.8,3,2,56
