team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,240,6.2,1,0,5,28,39
ATL,Matt Ryan,passing,216,6.5,1,1,3,20,33
BAL,Sam Koch,passing,0,0.0,0,0,0,0,1
BAL,Tyler Huntley,passing,141,4.5,0,2,3,16,31
BUF,Josh Allen,passing,239,5.3,2,0,0,24,45
BUF,Mitchell Trubisky,passing,15,15.0,0,0,0,1,1
CAR,Brandon Zylstra,passing,0,0.0,0,0,0,0,1
CAR,Sam Darnold,passing,219,5.2,2,1,2,29,42
CHI,Andy Dalton,passing,325,6.8,1,2,7,33,48
CIN,Brandon Allen,passing,136,4.7,1,0,4,15,29
CLE,Case Keenum,passing,176,7.3,2,1,1,17,24
DAL,Dak Prescott,passing,295,10.9,5,0,1,21,27
DAL,Cooper Rush,passing,10,10.0,0,0,0,1,1
DEN,Drew Lock,passing,162,6.8,0,0,1,12,24
DEN,Courtland Sutton,passing,16,16.0,0,0,0,1,1
DET,Jared Goff,passing,238,7.9,2,0,1,21,30
DET,Tom Kennedy,passing,75,75.0,1,0,0,1,1
DET,Jack Fox,passing,0,0.0,0,0,0,0,1
GB,Jordan Love,passing,134,7.9,1,2,1,10,17
GB,Aaron Rodgers,passing,138,7.7,2,0,3,14,18
HOU,Davis Mills,passing,301,9.1,3,0,2,23,33
IND,Carson Wentz,passing,185,6.4,1,1,6,17,29
JAX,Trevor Lawrence,passing,223,7.0,2,0,1,23,32
KC,Patrick Mahomes,passing,270,6.1,2,0,1,27,44
LAC,Justin Herbert,passing,383,6.0,3,1,3,34,64
LAR,Matthew Stafford,passing,238,7.4,3,2,5,21,32
LV,Derek Carr,passing,186,5.2,2,0,3,20,36
LV,Marcus Mariota,passing,4,4.0,0,0,0,1,1
MIA,Tua Tagovailoa,passing,109,5.0,1,0,1,15,22
MIN,Kirk Cousins,passing,250,11.4,3,0,3,14,22
NE,Mac Jones,passing,261,8.7,1,1,2,20,30
NO,Taysom Hill,passing,107,11.9,1,0,0,7,9
NO,Trevor Siemian,passing,71,4.7,2,0,1,9,15
NYG,Jake Fromm,passing,103,3.3,1,2,3,15,31
NYJ,Jamison Crowder,passing,0,0.0,0,0,1,0,0
NYJ,Zach Wilson,passing,87,4.4,1,0,8,7,20
PHI,Gardner Minshew II,passing,186,5.6,2,1,3,19,33
PHI,Greg Ward,passing,2,2.0,0,0,0,1,1
PIT,Ben Roethlisberger,passing,244,5.5,1,1,1,30,44
SEA,Russell Wilson,passing,238,9.2,3,1,1,15,26
SF,Deebo Samuel,passing,24,24.0,1,0,0,1,1
SF,Jimmy Garoppolo,passing,316,9.9,1,2,3,23,32
TB,Tom Brady,passing,326,8.8,3,0,1,29,37
TB,Blaine Gabbert,passing,0,0.0,0,0,0,0,2
TEN,Ryan Tannehill,passing,287,9.0,4,0,1,23,32
WSH,Taylor Heinicke,passing,120,6.7,0,0,3,9,18
