team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
KC,Elliott Fry,kicking,75.0,44,12,3,4,3,4
KC,Harrison Butker,kicking,80.25,56,122,25,28,47,49
