team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Nolan Cooney,punting,2,94,47.0,0,0,52
ATL,Bradley Pinion,punting,6,295,49.2,0,1,57
BAL,Jordan Stout,punting,7,329,47.0,0,2,65
BUF,Sam Martin,punting,1,70,70.0,1,0,70
CAR,Johnny Hekker,punting,5,246,49.2,0,3,58
CHI,Trenton Gill,punting,5,229,45.8,1,1,58
CIN,Brad Robbins,punting,5,211,42.2,0,1,46
CLE,Corey Bojorquez,punting,3,139,46.3,0,2,53
DAL,Bryan Anger,punting,2,102,51.0,0,0,52
DEN,Riley Dixon,punting,5,234,46.8,0,3,61
DET,Jack Fox,punting,6,274,45.7,0,3,62
GB,Daniel Whelan,punting,4,153,38.3,0,2,45
HOU,Ty Zentner,punting,4,173,43.3,0,1,54
IND,Rigoberto Sanchez,punting,7,325,46.4,0,3,54
JAX,Logan Cooke,punting,2,94,47.0,1,1,54
KC,Tommy Townsend,punting,1,55,55.0,0,1,55
LAC,JK Scott,punting,3,112,37.3,0,1,52
LAR,Ethan Evans,punting,6,306,51.0,0,1,58
LV,AJ Cole,punting,5,262,52.4,1,1,60
MIA,Jake Bailey,punting,1,48,48.0,0,0,48
MIN,Ryan Wright,punting,3,145,48.3,2,1,53
NE,Bryce Baringer,punting,8,322,40.3,0,4,50
NO,Lou Hedley,punting,7,293,41.9,0,2,49
NYG,Jamie Gillan,punting,6,316,52.7,0,1,60
NYJ,Thomas Morstead,punting,8,410,51.3,2,1,58
PHI,Braden Mann,punting,1,38,38.0,0,1,38
PIT,Pressley Harvin III,punting,6,323,53.8,0,3,63
SEA,Michael Dickson,punting,2,93,46.5,0,0,51
SF,Mitch Wishnowsky,punting,3,128,42.7,0,2,46
TB,Jake Camarda,punting,4,230,57.5,0,2,74
TEN,Ryan Stonehouse,punting,7,374,53.4,2,4,74
WSH,Tress Way,punting,3,150,50.0,0,0,57
