team,player,category,INT,YDS,TD
ARI,Kyzir White,interceptions,1,0,0
ATL,Jessie Bates III,interceptions,1,0,0
BUF,AJ Epenesa,interceptions,1,32,1
BUF,Tre'Davious White,interceptions,1,2,0
BUF,Micah Hyde,interceptions,1,1,0
BUF,Terrel Bernard,interceptions,1,0,0
CAR,Deion Jones,interceptions,1,0,0
CHI,Quindell Johnson,interceptions,1,0,0
CHI,Jack Sanborn,interceptions,1,42,0
CIN,Logan Wilson,interceptions,2,0,0
HOU,Blake Cashman,interceptions,1,0,0
KC,Mike Edwards,interceptions,1,16,0
LAC,Kenneth Murray Jr.,interceptions,1,0,0
LAR,Ahkello Witherspoon,interceptions,1,0,0
MIA,Emmanuel Ogbah,interceptions,1,5,0
NO,Lonnie Johnson Jr.,interceptions,1,0,0
PHI,Reed Blankenship,interceptions,1,0,0
PIT,Levi Wallace,interceptions,2,0,0
PIT,Patrick Peterson,interceptions,1,0,0
SF,Talanoa Hufanga,interceptions,1,8,0
TB,Devin White,interceptions,1,26,0
TB,Dee Delaney,interceptions,1,0,0
WSH,Kendall Fuller,interceptions,1,0,0
